material_id,material_name,material_type,strength,weight_capacity,biodegradability_score,co2_emission_score,recyclability_percent,cost_per_kg,thickness_mm,water_resistance,temperature_tolerance
234,Biodegradable Plastic Grade A,Biodegradable Plastic,456.13,17.03,77.44,1.767,73.72,5.97,3.99,9.0,59.0
235,Biodegradable Plastic Grade B,Biodegradable Plastic,828.99,7.06,75.43,2.002,60.52,2.58,4.33,7.0,50.0
236,Biodegradable Plastic Grade B,Biodegradable Plastic,1136.66,20.22,70.84,2.779,64.51,3.82,2.85,7.0,43.0
237,Biodegradable Plastic Grade A,Biodegradable Plastic,1143.62,18.53,79.47,1.575,78.08,5.68,4.12,8.0,10.0
238,Biodegradable Plastic Grade C,Biodegradable Plastic,443.02,16.42,72.03,2.627,73.14,5.85,1.28,8.0,55.0
239,Biodegradable Plastic Grade A,Biodegradable Plastic,535.54,8.43,83.59,1.874,65.44,5.16,2.8,7.0,39.0
240,Biodegradable Plastic Grade Standard,Biodegradable Plastic,358.83,13.73,70.5,1.594,78.13,2.99,3.13,7.0,-24.0
241,Mushroom Packaging Grade Standard,Mushroom Packaging,288.89,7.79,98.66,0.419,2.56,7.41,5.75,4.0,8.0
242,Mushroom Packaging Grade B,Mushroom Packaging,578.87,19.7,96.28,0.462,3.96,5.83,6.25,3.0,
243,Mushroom Packaging Grade Standard,Mushroom Packaging,407.28,5.83,95.76,0.29,5.02,7.25,6.93,3.0,18.0
244,Mushroom Packaging Grade B,Mushroom Packaging,301.65,17.76,98.61,0.227,14.16,5.72,3.57,4.0,59.0
245,Mushroom Packaging Grade A,Mushroom Packaging,442.88,6.26,98.32,0.286,1.95,7.31,6.22,5.0,34.0
246,Mushroom Packaging Grade A,Mushroom Packaging,300.37,9.7,99.89,0.518,9.95,4.7,9.1,4.0,9.0
247,Mushroom Packaging Grade Economy,Mushroom Packaging,342.2,18.05,99.4,0.548,4.78,5.26,9.89,4.0,57.0
248,Mushroom Packaging Grade Economy,Mushroom Packaging,498.63,5.51,96.72,0.313,7.81,6.99,5.6,,44.0
249,Mushroom Packaging Grade A,Mushroom Packaging,292.03,11.06,95.98,0.275,1.88,4.78,8.3,3.0,49.0
250,Mushroom Packaging Grade B,Mushroom Packaging,539.2,7.13,99.48,0.408,8.95,5.79,4.16,5.0,-3.0
251,Mushroom Packaging Grade A,Mushroom Packaging,653.73,6.7,97.54,0.439,0.67,4.82,8.13,5.0,-2.0
252,Mushroom Packaging Grade A,Mushroom Packaging,609.37,19.48,99.28,0.247,14.79,4.6,9.92,3.0,15.0
253,Mushroom Packaging Grade C,Mushroom Packaging,576.33,9.17,99.99,0.592,13.12,3.65,7.81,,19.0
254,Mushroom Packaging Grade A,Mushroom Packaging,620.33,7.36,96.9,0.589,6.74,4.48,9.43,4.0,54.0
255,Mushroom Packaging Grade Standard,Mushroom Packaging,391.46,11.54,99.11,0.384,7.16,5.47,8.8,,15.0
256,Mushroom Packaging Grade B,Mushroom Packaging,300.82,5.39,98.6,0.368,18.11,6.7,4.34,5.0,51.0
257,Mushroom Packaging Grade C,Mushroom Packaging,445.98,13.24,98.69,0.522,16.87,4.27,3.22,3.0,10.0
258,Mushroom Packaging Grade Economy,Mushroom Packaging,297.85,9.04,95.02,0.473,3.34,6.28,,5.0,57.0
259,Mushroom Packaging Grade Premium,Mushroom Packaging,403.17,17.86,96.08,0.344,1.37,6.82,5.86,4.0,11.0
260,Mushroom Packaging Grade B,Mushroom Packaging,594.73,16.62,98.32,0.304,18.14,6.35,6.92,5.0,40.0
261,Mushroom Packaging Grade Standard,Mushroom Packaging,457.16,17.83,97.73,0.352,19.54,3.55,5.96,3.0,34.0
262,Mushroom Packaging Grade B,Mushroom Packaging,582.96,18.69,96.4,0.543,5.84,7.55,8.28,3.0,22.0
263,Mushroom Packaging Grade Economy,Mushroom Packaging,258.1,19.4,98.63,0.322,16.59,4.41,9.11,4.0,32.0
264,Mushroom Packaging Grade Standard,Mushroom Packaging,304.11,5.09,96.32,0.218,11.34,4.42,,3.0,53.0
265,Mushroom Packaging Grade Standard,Mushroom Packaging,578.61,13.58,95.32,0.551,17.55,4.65,5.38,5.0,49.0
266,Mushroom Packaging Grade Premium,Mushroom Packaging,489.09,17.41,96.43,0.372,5.36,6.95,7.01,3.0,42.0
267,Mushroom Packaging Grade B,Mushroom Packaging,624.12,13.58,95.57,0.238,18.19,6.35,8.81,3.0,2.0
268,Mushroom Packaging Grade Premium,Mushroom Packaging,482.85,10.89,96.58,0.374,15.48,6.01,9.25,3.0,16.0
269,Mushroom Packaging Grade Premium,Mushroom Packaging,523.19,14.1,97.96,0.481,4.75,5.56,3.73,4.0,39.0
270,Mushroom Packaging Grade B,Mushroom Packaging,686.84,8.2,96.36,0.389,19.68,4.34,5.85,4.0,19.0
271,Mushroom Packaging Grade A,Mushroom Packaging,251.31,4.64,98.02,0.563,4.78,5.35,6.15,3.0,34.0
272,Mushroom Packaging Grade A,Mushroom Packaging,461.38,11.16,97.37,0.436,10.74,7.27,3.35,5.0,14.0
273,Mushroom Packaging Grade Economy,Mushroom Packaging,298.61,9.42,99.01,0.429,10.25,4.47,9.52,3.0,31.0
274,Mushroom Packaging Grade Premium,Mushroom Packaging,378.05,17.09,97.66,0.552,11.5,3.15,7.73,4.0,13.0
275,Mushroom Packaging Grade C,Mushroom Packaging,452.77,18.87,95.83,0.356,14.6,7.41,7.7,3.0,6.0
276,Mushroom Packaging Grade Premium,Mushroom Packaging,553.57,8.75,98.59,0.582,14.43,7.31,3.01,,41.0
277,Mushroom Packaging Grade Premium,Mushroom Packaging,276.79,13.66,98.43,0.246,7.68,5.28,5.58,5.0,22.0
278,Mushroom Packaging Grade Premium,Mushroom Packaging,497.31,18.41,97.02,0.328,15.0,5.06,7.52,4.0,45.0
279,Mushroom Packaging Grade Economy,Mushroom Packaging,517.15,4.16,98.18,0.565,12.25,7.37,8.07,5.0,-4.0
280,Mushroom Packaging Grade A,Mushroom Packaging,488.5,17.26,99.96,0.528,13.9,5.66,6.14,5.0,39.0
281,Mushroom Packaging Grade Economy,Mushroom Packaging,429.72,18.56,99.04,0.286,9.33,7.08,,3.0,48.0
282,Mushroom Packaging Grade Economy,Mushroom Packaging,633.33,10.46,95.39,0.417,17.23,5.95,4.58,5.0,22.0
283,Mushroom Packaging Grade Economy,Mushroom Packaging,510.67,16.15,95.49,0.556,0.25,4.85,3.19,3.0,18.0
284,Mushroom Packaging Grade A,Mushroom Packaging,418.55,6.67,97.15,0.257,17.8,4.73,,3.0,54.0
285,Mushroom Packaging Grade A,Mushroom Packaging,420.51,4.11,96.93,0.517,11.92,3.51,8.93,4.0,42.0
286,Mushroom Packaging Grade Premium,Mushroom Packaging,348.05,19.81,97.27,0.475,2.81,5.43,3.19,5.0,39.0
287,Mushroom Packaging Grade Economy,Mushroom Packaging,422.89,4.62,95.15,0.355,3.2,3.12,8.29,5.0,24.0
288,Mushroom Packaging Grade C,Mushroom Packaging,308.52,17.37,96.85,0.35,9.48,5.22,9.96,3.0,23.0
289,Mushroom Packaging Grade A,Mushroom Packaging,379.78,19.38,96.95,0.354,6.81,5.71,4.08,3.0,7.0
290,Mushroom Packaging Grade B,Mushroom Packaging,493.77,16.19,99.17,0.376,6.05,4.3,4.36,3.0,40.0
291,Mushroom Packaging Grade B,Mushroom Packaging,554.82,7.76,99.15,0.418,3.3,5.91,10.0,3.0,5.0
292,Mushroom Packaging Grade B,Mushroom Packaging,343.29,16.52,98.67,0.32,6.52,6.96,6.23,5.0,2.0
293,Mushroom Packaging Grade Standard,Mushroom Packaging,267.76,11.61,97.72,0.291,19.28,7.55,8.06,3.0,41.0
294,Mushroom Packaging Grade Premium,Mushroom Packaging,641.49,6.09,98.95,0.25,15.88,4.38,9.14,4.0,11.0
295,Mushroom Packaging Grade B,Mushroom Packaging,677.1,12.21,95.47,0.502,9.84,4.51,6.44,5.0,27.0
296,Mushroom Packaging Grade Premium,Mushroom Packaging,503.22,11.06,98.03,0.567,7.25,6.63,9.26,5.0,45.0
297,Mushroom Packaging Grade B,Mushroom Packaging,520.95,13.46,99.03,0.391,19.92,3.3,3.02,3.0,13.0
298,Mushroom Packaging Grade C,Mushroom Packaging,390.35,8.1,95.15,0.589,4.41,6.67,8.34,4.0,37.0
299,Mushroom Packaging Grade Premium,Mushroom Packaging,642.42,12.44,98.16,0.458,16.4,4.67,8.13,4.0,51.0
300,Mushroom Packaging Grade B,Mushroom Packaging,607.03,19.85,96.0,0.598,1.8,3.01,3.31,3.0,31.0
301,Mushroom Packaging Grade A,Mushroom Packaging,583.21,6.29,98.77,0.508,13.17,6.83,8.92,4.0,57.0
302,Mushroom Packaging Grade Premium,Mushroom Packaging,289.87,11.8,95.39,0.363,8.14,3.33,5.44,5.0,8.0
303,Mushroom Packaging Grade Standard,Mushroom Packaging,613.71,19.16,95.36,0.582,10.45,4.5,3.54,5.0,28.0
304,Mushroom Packaging Grade A,Mushroom Packaging,607.53,15.31,95.25,0.229,8.06,4.48,4.63,5.0,2.0
305,Mushroom Packaging Grade A,Mushroom Packaging,381.63,6.44,96.33,0.209,11.67,7.21,6.84,4.0,47.0
306,Mushroom Packaging Grade Economy,Mushroom Packaging,265.15,7.43,97.08,0.504,3.76,6.6,9.07,4.0,4.0
307,Mushroom Packaging Grade Standard,Mushroom Packaging,619.64,12.87,98.19,0.411,9.26,4.17,5.12,5.0,16.0
308,Mushroom Packaging Grade A,Mushroom Packaging,503.48,5.92,99.58,0.488,8.03,3.79,9.17,4.0,43.0
309,Mushroom Packaging Grade A,Mushroom Packaging,392.91,4.0,97.56,0.219,5.52,6.53,3.44,4.0,2.0
310,Mushroom Packaging Grade B,Mushroom Packaging,251.72,7.95,98.7,0.327,2.04,4.8,4.89,5.0,28.0
311,Mushroom Packaging Grade B,Mushroom Packaging,391.01,16.62,99.46,0.374,18.2,4.89,9.75,3.0,11.0
312,Mushroom Packaging Grade Premium,Mushroom Packaging,559.16,11.9,96.94,0.453,14.08,3.02,4.17,3.0,7.0
313,Mushroom Packaging Grade Premium,Mushroom Packaging,332.26,8.46,95.65,0.47,18.88,4.34,6.33,5.0,6.0
314,Mushroom Packaging Grade Premium,Mushroom Packaging,699.76,5.68,97.49,0.354,17.32,5.38,3.78,4.0,7.0
315,Mushroom Packaging Grade B,Mushroom Packaging,437.43,17.15,99.25,0.285,13.15,5.36,9.16,3.0,39.0
316,Mushroom Packaging Grade Premium,Mushroom Packaging,266.17,10.32,99.65,0.25,14.74,7.87,3.37,4.0,48.0
317,Mushroom Packaging Grade A,Mushroom Packaging,510.63,5.37,95.22,0.467,16.47,6.91,6.81,5.0,47.0
318,Mushroom Packaging Grade B,Mushroom Packaging,559.62,7.87,99.56,0.535,14.19,7.74,3.22,5.0,11.0
319,Mushroom Packaging Grade Premium,Mushroom Packaging,657.73,8.27,98.62,0.551,0.83,4.99,8.34,5.0,
320,Mushroom Packaging Grade A,Mushroom Packaging,370.26,7.52,95.66,0.543,11.51,3.38,5.68,3.0,28.0
321,Cornstarch Packaging Grade Premium,Cornstarch Packaging,309.04,8.97,93.32,0.605,24.78,2.78,2.93,7.0,79.0
322,Cornstarch Packaging Grade C,Cornstarch Packaging,529.03,16.07,96.76,0.728,26.6,4.12,1.87,5.0,65.0
323,Cornstarch Packaging Grade Premium,Cornstarch Packaging,291.4,16.39,97.1,0.962,22.07,3.66,1.18,6.0,-17.0
324,Cornstarch Packaging Grade C,Cornstarch Packaging,774.67,17.08,97.85,0.995,20.89,5.37,1.23,5.0,-4.0
325,Cornstarch Packaging Grade Premium,Cornstarch Packaging,335.23,5.13,91.41,0.773,25.63,4.02,1.44,5.0,51.0
326,Cornstarch Packaging Grade Economy,Cornstarch Packaging,581.57,8.21,96.74,0.556,16.9,5.21,1.87,5.0,26.0
327,Cornstarch Packaging Grade Economy,Cornstarch Packaging,236.38,13.04,96.9,0.958,19.95,2.81,1.13,5.0,29.0
328,Cornstarch Packaging Grade Standard,Cornstarch Packaging,381.15,14.18,93.54,0.969,29.25,4.17,3.79,6.0,61.0
329,Cornstarch Packaging Grade Economy,Cornstarch Packaging,528.12,4.88,94.59,0.737,27.28,3.68,3.69,5.0,60.0
330,Cornstarch Packaging Grade Economy,Cornstarch Packaging,788.72,14.69,98.54,0.545,29.21,2.69,3.85,7.0,69.0
331,Cornstarch Packaging Grade Premium,Cornstarch Packaging,513.52,5.51,94.59,0.952,13.52,2.75,1.04,6.0,-17.0
332,Cornstarch Packaging Grade B,Cornstarch Packaging,697.63,13.71,93.55,0.819,17.9,5.34,,5.0,85.0
333,Cornstarch Packaging Grade B,Cornstarch Packaging,486.14,13.49,92.47,0.784,23.33,2.57,2.7,6.0,72.0
334,Cornstarch Packaging Grade C,Cornstarch Packaging,499.34,2.19,90.09,0.614,28.52,2.8,2.9,6.0,83.0
335,Cornstarch Packaging Grade B,Cornstarch Packaging,708.83,13.66,90.95,0.657,10.58,3.68,2.99,6.0,79.0
336,Cornstarch Packaging Grade A,Cornstarch Packaging,373.33,8.37,99.2,0.996,10.9,4.66,2.12,5.0,73.0
337,Cornstarch Packaging Grade Standard,Cornstarch Packaging,751.06,17.21,95.77,0.614,25.75,2.88,2.69,7.0,61.0
338,Cornstarch Packaging Grade Economy,Cornstarch Packaging,593.98,5.85,91.92,0.951,12.04,3.77,1.66,5.0,-16.0
339,Cornstarch Packaging Grade Standard,Cornstarch Packaging,221.61,4.8,98.67,0.569,29.01,4.04,2.31,7.0,0.0
340,Cornstarch Packaging Grade A,Cornstarch Packaging,510.02,14.14,92.82,0.612,27.88,5.31,3.68,5.0,57.0
341,Cornstarch Packaging Grade Economy,Cornstarch Packaging,668.22,9.62,94.98,0.523,21.82,2.65,1.99,7.0,25.0
342,Cornstarch Packaging Grade C,Cornstarch Packaging,324.25,3.14,90.69,0.964,20.14,3.43,3.43,7.0,40.0
343,Cornstarch Packaging Grade A,Cornstarch Packaging,636.05,14.38,93.53,0.895,20.31,3.62,1.14,7.0,88.0
344,Cornstarch Packaging Grade A,Cornstarch Packaging,222.54,4.05,97.66,0.4,18.33,3.83,1.16,6.0,19.0
345,Cornstarch Packaging Grade Standard,Cornstarch Packaging,335.68,6.87,93.04,0.538,10.03,4.55,3.9,6.0,
346,Cornstarch Packaging Grade Premium,Cornstarch Packaging,645.14,15.57,94.23,0.582,16.51,4.49,3.45,6.0,36.0
347,Cornstarch Packaging Grade Standard,Cornstarch Packaging,422.56,16.43,98.07,0.991,25.08,3.38,2.77,5.0,-5.0
348,Cornstarch Packaging Grade Standard,Cornstarch Packaging,247.07,10.71,97.09,0.5,25.61,4.04,3.86,6.0,65.0
349,Cornstarch Packaging Grade B,Cornstarch Packaging,359.2,11.62,92.97,0.829,25.18,2.36,2.54,5.0,30.0
350,Cornstarch Packaging Grade A,Cornstarch Packaging,421.57,16.93,98.28,0.818,24.29,3.62,3.76,7.0,18.0
351,Cornstarch Packaging Grade Standard,Cornstarch Packaging,710.28,7.51,90.31,0.431,12.84,2.75,3.0,5.0,-18.0
352,Cornstarch Packaging Grade A,Cornstarch Packaging,271.32,14.24,96.71,0.661,20.99,3.09,2.45,6.0,62.0
353,Cornstarch Packaging Grade B,Cornstarch Packaging,669.3,3.99,97.98,0.77,26.87,2.34,2.68,5.0,62.0
354,Cornstarch Packaging Grade A,Cornstarch Packaging,623.72,10.55,95.41,0.658,16.18,3.69,1.36,6.0,78.0
355,Cornstarch Packaging Grade Standard,Cornstarch Packaging,771.48,5.63,98.79,0.885,23.54,4.19,1.95,6.0,36.0
356,Cornstarch Packaging Grade A,Cornstarch Packaging,678.01,6.01,96.25,0.743,26.66,5.17,1.04,5.0,-9.0
357,Cornstarch Packaging Grade Economy,Cornstarch Packaging,372.58,6.91,93.53,0.773,16.68,4.56,2.21,6.0,38.0
358,Cornstarch Packaging Grade B,Cornstarch Packaging,413.51,3.34,93.33,0.807,11.44,2.72,2.14,5.0,-8.0
359,Cornstarch Packaging Grade Premium,Cornstarch Packaging,670.92,13.74,91.16,0.869,25.71,4.1,3.97,6.0,42.0
360,Cornstarch Packaging Grade A,Cornstarch Packaging,459.21,17.69,90.68,0.711,13.59,5.4,1.34,6.0,20.0
361,Cornstarch Packaging Grade Standard,Cornstarch Packaging,642.73,13.27,94.23,0.608,17.95,2.92,1.62,5.0,14.0
362,Cornstarch Packaging Grade B,Cornstarch Packaging,361.12,6.6,96.57,0.981,22.07,2.27,1.23,6.0,-1.0
363,Cornstarch Packaging Grade Standard,Cornstarch Packaging,378.37,3.47,95.99,0.774,22.97,2.94,1.05,7.0,-15.0
364,Cornstarch Packaging Grade Standard,Cornstarch Packaging,350.54,12.82,97.07,0.766,16.26,2.95,2.79,5.0,47.0
365,Cornstarch Packaging Grade A,Cornstarch Packaging,768.04,3.69,91.55,0.967,24.73,5.09,1.61,6.0,79.0
366,Cornstarch Packaging Grade Standard,Cornstarch Packaging,620.68,12.88,94.08,0.409,21.66,2.89,2.35,5.0,-11.0
367,Cornstarch Packaging Grade A,Cornstarch Packaging,439.42,15.44,91.89,0.803,29.54,2.36,1.02,6.0,29.0
368,Cornstarch Packaging Grade Premium,Cornstarch Packaging,255.58,13.97,99.15,0.66,15.17,3.52,,6.0,-2.0
369,Cornstarch Packaging Grade Economy,Cornstarch Packaging,553.67,11.81,96.38,0.545,24.28,2.32,1.6,7.0,75.0
370,Cornstarch Packaging Grade Standard,Cornstarch Packaging,746.91,2.47,93.56,0.409,11.54,5.19,,6.0,46.0
371,Cornstarch Packaging Grade Standard,Cornstarch Packaging,329.21,11.55,95.95,0.623,16.66,5.1,2.15,7.0,42.0
372,Cornstarch Packaging Grade Standard,Cornstarch Packaging,526.55,5.2,96.17,0.846,24.76,3.83,1.21,6.0,60.0
373,Cornstarch Packaging Grade C,Cornstarch Packaging,752.46,11.35,95.38,0.561,17.37,5.13,3.0,7.0,64.0
374,Cornstarch Packaging Grade C,Cornstarch Packaging,446.8,15.98,96.38,0.9,19.99,3.87,1.43,7.0,71.0
375,Cornstarch Packaging Grade B,Cornstarch Packaging,451.63,10.0,97.85,0.759,14.02,4.07,2.22,7.0,33.0
376,Cornstarch Packaging Grade Economy,Cornstarch Packaging,216.99,5.36,92.81,0.828,10.23,3.43,3.77,5.0,8.0
377,Cornstarch Packaging Grade Economy,Cornstarch Packaging,242.3,4.97,96.64,0.929,26.28,4.4,1.33,5.0,-20.0
378,Cornstarch Packaging Grade C,Cornstarch Packaging,385.88,6.0,95.15,0.721,17.14,3.24,3.49,5.0,88.0
379,Cornstarch Packaging Grade B,Cornstarch Packaging,384.68,16.62,99.53,0.596,17.09,3.77,3.82,5.0,64.0
380,Cornstarch Packaging Grade C,Cornstarch Packaging,742.14,3.24,98.29,0.609,20.43,4.78,3.65,7.0,59.0
381,Cornstarch Packaging Grade Premium,Cornstarch Packaging,649.01,9.03,96.11,0.496,23.47,2.63,3.08,7.0,2.0
382,Cornstarch Packaging Grade B,Cornstarch Packaging,457.77,13.85,98.63,0.719,25.79,3.04,2.62,6.0,60.0
383,Cornstarch Packaging Grade Economy,Cornstarch Packaging,448.52,13.72,98.82,0.473,22.69,4.04,1.36,6.0,7.0
384,Cornstarch Packaging Grade Economy,Cornstarch Packaging,386.6,4.67,92.44,0.561,16.71,4.62,2.72,7.0,-12.0
385,Cornstarch Packaging Grade C,Cornstarch Packaging,449.47,8.86,95.41,0.818,24.04,2.6,2.5,7.0,-8.0
386,Cornstarch Packaging Grade Premium,Cornstarch Packaging,722.32,12.1,95.33,0.469,22.11,2.41,2.01,6.0,-4.0
387,Cornstarch Packaging Grade C,Cornstarch Packaging,323.75,8.27,98.96,0.523,20.16,3.47,1.05,5.0,22.0
388,Cornstarch Packaging Grade A,Cornstarch Packaging,241.43,9.59,95.61,0.777,23.77,2.89,1.03,5.0,35.0
389,Cornstarch Packaging Grade A,Cornstarch Packaging,701.67,15.14,98.43,0.691,16.67,4.77,2.35,7.0,-2.0
390,Cornstarch Packaging Grade Premium,Cornstarch Packaging,712.98,16.12,94.66,0.445,17.76,4.81,3.71,6.0,75.0
391,Cornstarch Packaging Grade Standard,Cornstarch Packaging,225.19,9.67,91.82,0.846,26.96,3.91,3.95,6.0,45.0
392,Cornstarch Packaging Grade Standard,Cornstarch Packaging,508.02,17.83,92.32,0.966,10.86,3.56,1.21,6.0,43.0
393,Cornstarch Packaging Grade A,Cornstarch Packaging,565.05,13.31,93.74,0.622,10.91,3.22,3.79,6.0,86.0
394,Cornstarch Packaging Grade A,Cornstarch Packaging,698.82,15.48,93.73,0.779,11.91,2.36,1.15,5.0,37.0
395,Cornstarch Packaging Grade Standard,Cornstarch Packaging,669.18,14.03,98.03,0.711,12.81,4.35,2.86,5.0,38.0
396,Cornstarch Packaging Grade B,Cornstarch Packaging,301.93,5.12,98.9,0.85,28.16,4.66,2.79,6.0,
397,Cornstarch Packaging Grade Standard,Cornstarch Packaging,711.55,10.67,97.58,0.584,18.3,4.49,2.16,7.0,36.0
398,Cornstarch Packaging Grade C,Cornstarch Packaging,344.9,5.44,94.25,0.945,20.14,2.66,1.23,6.0,29.0
399,Cornstarch Packaging Grade B,Cornstarch Packaging,429.68,15.15,96.6,0.878,15.44,4.42,,6.0,46.0
400,Cornstarch Packaging Grade C,Cornstarch Packaging,581.82,7.19,92.7,0.515,23.89,2.77,,6.0,53.0
401,Recycled Paper Grade A,Recycled Paper,491.13,16.85,92.78,1.133,95.94,0.61,,2.0,
402,Recycled Paper Grade B,Recycled Paper,282.1,10.89,87.64,0.891,99.44,1.57,4.15,3.0,34.0
403,Recycled Paper Grade C,Recycled Paper,548.37,10.29,87.01,0.96,98.68,1.07,4.33,3.0,-14.0
404,Recycled Paper Grade C,Recycled Paper,531.56,16.82,92.07,1.277,99.13,1.67,5.67,,45.0
405,Recycled Paper Grade B,Recycled Paper,583.27,19.96,87.41,0.628,97.06,0.67,1.11,4.0,5.0
406,Recycled Paper Grade Premium,Recycled Paper,548.36,12.63,88.13,1.058,96.16,0.52,4.82,3.0,33.0
407,Recycled Paper Grade Standard,Recycled Paper,538.28,3.66,93.37,1.034,97.82,1.31,5.32,3.0,67.0
408,Recycled Paper Grade Economy,Recycled Paper,453.05,19.84,92.57,0.91,98.54,1.01,2.14,4.0,71.0
409,Recycled Paper Grade C,Recycled Paper,616.25,18.8,88.42,0.969,96.06,1.79,5.91,3.0,26.0
410,Recycled Paper Grade Standard,Recycled Paper,516.1,13.08,85.53,0.918,98.37,1.38,2.87,4.0,59.0
411,Recycled Paper Grade Economy,Recycled Paper,258.66,11.51,91.91,1.088,98.24,0.86,1.78,4.0,-12.0
412,Recycled Paper Grade Standard,Recycled Paper,374.5,6.47,85.42,1.006,97.26,1.73,1.3,3.0,17.0
413,Recycled Paper Grade A,Recycled Paper,466.56,14.89,93.38,1.162,99.8,1.2,3.44,3.0,-3.0
414,Recycled Paper Grade Economy,Recycled Paper,252.23,12.73,87.77,1.245,97.92,1.27,2.77,3.0,4.0
415,Recycled Paper Grade Standard,Recycled Paper,194.92,10.2,85.85,1.025,99.4,1.65,4.3,4.0,64.0
416,Recycled Paper Grade C,Recycled Paper,585.61,18.06,86.97,1.116,96.43,1.54,5.99,2.0,
417,Recycled Paper Grade Economy,Recycled Paper,472.64,19.55,89.65,1.193,95.31,0.94,1.34,4.0,
418,Recycled Paper Grade A,Recycled Paper,563.98,17.49,94.38,0.66,96.93,0.59,2.05,3.0,4.0
419,Recycled Paper Grade B,Recycled Paper,205.95,19.02,85.75,0.907,97.65,1.78,1.83,4.0,-5.0
420,Recycled Paper Grade C,Recycled Paper,333.34,8.09,87.33,0.691,96.28,0.96,4.37,2.0,10.0
421,Recycled Paper Grade A,Recycled Paper,560.24,5.5,88.43,1.205,95.77,0.61,3.42,4.0,-5.0
422,Recycled Paper Grade A,Recycled Paper,444.8,16.66,86.37,1.006,97.53,0.69,4.12,3.0,71.0
423,Recycled Paper Grade Economy,Recycled Paper,218.67,10.81,88.06,1.176,95.28,1.04,3.29,2.0,73.0
424,Recycled Paper Grade Standard,Recycled Paper,449.92,14.34,92.77,1.204,96.57,1.2,5.2,2.0,16.0
425,Recycled Paper Grade B,Recycled Paper,598.07,9.31,86.95,0.943,98.71,1.14,3.42,4.0,44.0
426,Recycled Paper Grade C,Recycled Paper,349.86,17.62,89.07,0.83,97.27,1.49,1.63,2.0,65.0
427,Recycled Paper Grade C,Recycled Paper,564.39,11.67,92.36,0.959,99.35,1.02,,2.0,61.0
428,Recycled Paper Grade Standard,Recycled Paper,490.98,5.4,90.71,0.73,96.39,0.78,1.91,3.0,64.0
429,Recycled Paper Grade B,Recycled Paper,314.28,18.76,94.7,1.0,95.72,0.99,4.99,4.0,43.0
430,Recycled Paper Grade Economy,Recycled Paper,338.62,15.4,90.73,0.836,99.94,0.53,2.26,2.0,68.0
431,Recycled Paper Grade C,Recycled Paper,297.34,7.48,85.01,1.209,98.96,1.32,4.75,3.0,20.0
432,Recycled Paper Grade B,Recycled Paper,395.41,8.97,85.94,0.94,99.6,0.55,2.46,4.0,74.0
433,Recycled Paper Grade Economy,Recycled Paper,549.33,13.03,85.06,1.141,98.51,1.3,4.8,4.0,
434,Recycled Paper Grade Economy,Recycled Paper,510.92,18.9,88.76,1.096,97.38,1.38,4.81,4.0,
435,Recycled Paper Grade C,Recycled Paper,419.97,13.46,94.11,0.957,97.51,0.57,1.17,2.0,41.0
436,Recycled Paper Grade Standard,Recycled Paper,385.94,17.27,86.61,0.617,97.25,0.81,1.25,2.0,62.0
437,Recycled Paper Grade Premium,Recycled Paper,610.03,6.22,94.22,1.087,98.05,0.76,1.28,4.0,27.0
438,Recycled Paper Grade C,Recycled Paper,486.21,6.58,90.56,1.2,99.18,1.71,2.83,3.0,21.0
439,Recycled Paper Grade A,Recycled Paper,532.23,10.33,85.88,0.798,97.09,0.88,2.66,3.0,47.0
440,Recycled Paper Grade A,Recycled Paper,199.5,13.83,90.97,1.057,95.96,0.88,4.1,,52.0
441,Recycled Paper Grade Economy,Recycled Paper,344.69,18.52,88.4,0.919,98.39,1.21,,3.0,67.0
442,Recycled Paper Grade Premium,Recycled Paper,326.58,8.78,85.79,0.91,96.31,0.95,5.17,4.0,
443,Recycled Paper Grade C,Recycled Paper,267.29,9.33,94.29,0.643,95.46,0.71,3.98,4.0,-2.0
444,Recycled Paper Grade A,Recycled Paper,390.93,18.52,86.89,0.604,95.3,1.68,4.24,3.0,67.0
445,Recycled Paper Grade A,Recycled Paper,605.05,16.9,92.57,0.639,95.03,0.78,4.32,3.0,31.0
446,Recycled Paper Grade C,Recycled Paper,369.13,18.04,93.96,1.236,96.57,1.4,2.36,2.0,50.0
447,Recycled Paper Grade B,Recycled Paper,266.78,8.82,89.3,1.182,95.6,1.46,3.66,3.0,-1.0
448,Recycled Paper Grade Economy,Recycled Paper,626.45,5.33,92.34,1.043,97.92,1.01,2.78,4.0,31.0
449,Recycled Paper Grade C,Recycled Paper,187.13,12.88,86.06,1.211,97.62,1.41,3.05,3.0,73.0
450,Recycled Paper Grade B,Recycled Paper,623.05,4.41,87.54,1.146,95.49,0.6,2.81,4.0,53.0
451,Recycled Paper Grade Economy,Recycled Paper,211.6,13.11,92.39,0.623,98.29,1.19,1.52,3.0,61.0
452,Recycled Paper Grade Premium,Recycled Paper,446.95,8.04,94.38,1.173,99.92,0.84,5.85,2.0,40.0
453,Recycled Paper Grade Standard,Recycled Paper,343.33,3.86,85.53,1.084,97.29,0.79,4.07,2.0,47.0
454,Recycled Paper Grade Economy,Recycled Paper,503.72,18.26,92.45,0.654,99.48,1.53,1.79,2.0,1.0
455,Recycled Paper Grade Premium,Recycled Paper,441.94,5.65,93.35,0.851,99.56,1.24,1.91,2.0,-1.0
