Material_Type,Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent
Recycled Aluminum,91.01,121.39,0.92,0.76,55.04
Biodegradable Polymer,104.62,143.88,0.19,1.57,73.18
Recycled Glass,55.14,74.72,0.89,1.91,77.95
Recycled Aluminum,79.88,178.45,0.76,1.95,69.26
PLA Bioplastic,213.26,174,0.19,1.6,81.66
PLA Bioplastic,48.37,130.78,0.59,0.12,90.42
Hemp Fiber,21.41,41.33,0.98,4.35,55.99
Recycled Plastic,290.31,174.69,0.9,3.29,57.36
Eco-Resin,111.68,142.17,0.4,0.61,63.56
Recycled Glass,278.33,144.72,0.59,1.9,92.94
Eco-Resin,216.41,88.43,0.97,3.88,61.38
PLA Bioplastic,227.73,97.19,0.6,0.33,58.62
Recycled Aluminum,95.57,63.84,0.25,2.34,91.95
Cork Material,40.35,172.65,0.74,3.88,50.25
Eco-Resin,160.94,184.07,0.99,0.26,51.06
PLA Bioplastic,145.35,151.68,0.95,4.1,95.86
Eco-Resin,106.41,102.78,0.23,3.06,52.8
Bamboo Composite,96.89,172.97,0.81,1.05,59.85
PLA Bioplastic,87.17,176.9,0.63,1.19,40.44
Biodegradable Polymer,40.66,117.8,0.46,3.2,55.99
Recycled Plastic,86.24,161.56,0.22,0.69,86.89
