Material_Type,Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent
Linen (Flax Fiber),119.18,11.87,0.73,2.78,48.4
Recycled Cotton,61.96,0.74,0.54,3.96,75.11
Bamboo Fiber,40.42,10.79,0.97,1.56,67.15
Mycelium Leather,21.07,9.55,0.4,1.28,35.84
Mycelium Leather,71.4,1.25,0.23,1.7,93.18
Piñatex (Pineapple Fiber),175.97,6.97,0.58,2.67,84.32
Recycled Polyester (rPET),97.44,8.69,0.84,2.9,97.55
Mycelium Leather,137.34,5.3,0.31,2.21,13.18
Organic Cotton,33.45,8.51,0.71,2.95,83.45
Cork Fabric,36.47,2.42,0.32,3.58,29.46
Recycled Polyester (rPET),191.31,0.97,0.64,1.36,54.97
Hemp Fiber,93.42,2.64,0.75,1.84,71.45
Piñatex (Pineapple Fiber),122.78,2.19,0.45,2.78,74.4
Cork Fabric,187.66,8.2,0.9,1.89,56.42
Cork Fabric,131.53,12.94,0.84,3.81,63.39
Cork Fabric,81.11,5.37,0.36,1.19,42.07
Organic Cotton,57.31,10.26,0.31,1.18,91.58
Piñatex (Pineapple Fiber),149.62,0.97,0.65,2.16,75.79
Mycelium Leather,38.15,10.2,0.81,2.52,90.32
Tencel (Lyocell),89.17,6.78,0.36,2.36,13.7
Cork Fabric,178.16,8.13,0.82,3.88,76.61
Bamboo Fiber,61.67,12.25,0.57,0.41,57.96
Hemp Fiber,49.69,2.07,0.89,2.49,63.65
Cork Fabric,83.46,6.64,0.98,0.55,11.52
Organic Cotton,148.16,3.1,0.44,2.14,43.08
Recycled Polyester (rPET),142.66,5.94,0.54,3.87,53.71
Piñatex (Pineapple Fiber),129.7,4.5,0.43,3.62,76.96
Piñatex (Pineapple Fiber),64.77,1.15,0.47,3.19,41.23
Organic Cotton,199.84,8.74,0.44,0.84,23.76
Recycled Polyester (rPET),179.47,1.86,0.9,3.79,31.72
Hemp Fiber,170.26,13.01,0.49,3.22,19.36
Recycled Cotton,190.46,9.5,0.73,3.95,62.2
Piñatex (Pineapple Fiber),90.91,12.44,0.73,0.13,18.95
Hemp Fiber,188.44,0.7,0.32,2.91,52.59
Hemp Fiber,108.55,11.55,0.22,0.52,76.11
Tencel (Lyocell),171.16,4.73,0.36,3.5,89.58
Cork Fabric,109.31,2.28,0.29,2.48,61.29
Mycelium Leather,167.42,6.44,0.76,2.24,78.14
Linen (Flax Fiber),65.1,5.92,0.81,3.25,12.9
Linen (Flax Fiber),77.25,2.59,0.53,3.56,32.87
Tencel (Lyocell),151.25,5.37,0.87,3.5,19.78
