Material_Type,Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent
Glass (Recycled),48.2,3.29,0.61,1.88,46.28
Bamboo Fiber,94.45,4.39,0.4,1.05,64.63
Recycled PET,86.36,3.43,0.38,1.48,99.51
Aluminum (Recycled),96.59,2.48,0.27,2.95,47.03
Cork Material,66.63,4.65,0.52,0.28,47.17
Aluminum (Recycled),46.47,3.17,0.39,2.94,38.2
Aluminum (Recycled),137.68,1.33,0.76,2.06,95.63
PLA Bioplastic,15.6,1.36,0.76,2.61,77.22
Aluminum (Recycled),65.8,1.05,0.72,0.22,68.3
Sugarcane Bioplastic,94.11,3.16,0.92,2.7,74.26
Mycelium Packaging,132.64,4.05,0.65,2.33,62.08
Recycled PET,26.89,3.92,0.64,0.72,45.69
Bamboo Fiber,72.42,0.33,0.94,2.03,44.93
Aluminum (Recycled),55.94,3.74,0.95,2.42,46.86
Biodegradable Polymer,36.65,4.42,0.39,2.29,48.27
Aluminum (Recycled),130.43,4.55,0.98,2.29,70.18
Paper Pulp Composite,32.81,0.48,0.68,2.8,39.36
Cork Material,78.76,2.39,0.95,1,96.98
Paper Pulp Composite,46.04,3.28,0.43,0.08,70.28
Bamboo Fiber,145.98,0.87,0.78,2.68,90.11
Sugarcane Bioplastic,43.15,0.14,0.95,2.67,71.68
Mycelium Packaging,43.43,3.86,0.31,0.69,62.66
Aluminum (Recycled),36.54,2.34,0.61,1.56,99.8
Paper Pulp Composite,31.32,2.04,0.36,1.68,45.02
Glass (Recycled),63,0.91,0.55,1.81,54.94
Recycled PET,22.75,2.93,0.22,1.12,98.97
Mycelium Packaging,10.85,1.07,0.79,2.82,34.51
Mycelium Packaging,79.86,4.15,0.73,1.8,75.64
Cork Material,56.13,0.87,0.45,1.01,55.95
Aluminum (Recycled),102,1.05,0.86,1.17,74.22
Sugarcane Bioplastic,83.1,1.55,0.2,2.1,46.27
Recycled PET,112.52,4.63,0.58,0.31,69.88
Biodegradable Polymer,44.32,1.82,0.9,2.99,34.1
