id,material,weight,cost,co2_emission,recyclable,durability,co2_impact_index,cost_efficiency_index,sustainability_score
229,Banana Fiber Small,18.1,5.3,0.27,1,7,0.17034700315457416,0.34195338512763607,0.8418611987381703
230,Mixed Natural Fiber HeavyDuty Pack,17.9,7.0,0.55,1,9,0.34700315457413256,0.3288235294117648,0.831198738170347
231,Hemp Fiber,18.9,7.2,0.69,1,7,0.43533123028391163,0.21135620915032685,0.7358675078864353
232,Hemp Pulp Board Recycled Fiber,24.2,6.0,0.41,1,6,0.2586750788643533,0.22176470588235297,0.7765299684542586
233,Wool Biopolymer Premium Small,11.6,6.0,1.13,1,6,0.7129337539432176,0.22176470588235297,0.594826498422713
234,Rice Straw Pulp Premium Small,24.2,6.4,0.59,1,8,0.37223974763406936,0.3154411764705883,0.7911041009463723
235,Starch-Coir Composite Recycled Small,14.4,4.8,0.76,1,8,0.4794952681388013,0.4715686274509805,0.7482018927444795
236,Banana Stem Fiber,20.2,3.6,0.74,1,7,0.4668769716088328,0.5756535947712419,0.7232492113564668
237,PLA-Bamboo Blend Consumer Fiber,12.5,8.1,0.74,1,6,0.4668769716088328,0.12461873638344233,0.6932492113564668
238,Husk-Molded Packaging Composite Small,46.1,3.5,1.36,1,6,0.858044164037855,0.4894117647058824,0.536782334384858
239,Pea Starch Polymer Composite,17.7,4.8,0.75,1,6,0.47318611987381703,0.3154411764705883,0.6907255520504731
240,Leaf-Pulp Shell Blend Blend,35.9,4.6,0.79,1,6,0.49842271293375395,0.3358056265984655,0.6806309148264984
241,Hemp Fiber Blend Sheet,28.3,6.2,0.87,1,6,0.5488958990536278,0.20967741935483875,0.6604416403785489
242,Leaf Husk Biopolymer Industrial Medium,13.3,7.2,1.03,1,7,0.6498422712933755,0.21135620915032685,0.6500630914826497
243,Cassava Starch Polymer HeavyDuty Pack,19.6,8.8,1.19,1,6,0.750788643533123,0.10254010695187167,0.5796845425867507
244,Organic BioFoam Consumer Blend,18.4,5.0,0.36,1,6,0.22712933753943218,0.2967058823529412,0.7891482649842272
245,Leaf Fiber Biocomp Blend Pack,21.0,5.8,0.94,1,7,0.5930599369085173,0.299290060851927,0.6727760252365931
246,Starch Foam Premium Small,23.2,10.1,0.66,1,7,0.416403785488959,0.10675596971461858,0.7434384858044163
247,Palm Husk Fiber Industrial Large,16.8,4.7,0.74,1,7,0.4668769716088328,0.40513141426783483,0.7232492113564668
248,Recycled Fiber Foam Industrial Fiber,34.8,4.4,0.25,1,8,0.15772870662460567,0.5283422459893048,0.8769085173501577
249,Bio-based Nylon Standard Blend,19.6,5.8,0.91,1,5,0.5741324921135647,0.170081135902637,0.6203470031545741
250,Leaf-Pulp Shell Composite Medium,33.4,4.5,0.68,1,5,0.4290220820189275,0.2633986928104576,0.6783911671924291
251,Flax Fiber Premium Sheet,23.0,7.8,0.84,1,9,0.5299684542586751,0.2794117647058824,0.75801261829653
252,Palm Wax Composite Recycled Sheet,11.7,3.4,0.26,1,8,0.1640378548895899,0.7287197231833911,0.874384858044164
253,Palm Husk Fiber Pack,18.7,6.2,0.47,1,7,0.29652996845425866,0.27011385199240984,0.7913880126182965
254,Jute Stick Composite Standard Large,24.9,7.3,0.59,1,6,0.37223974763406936,0.15503626107977445,0.7311041009463723
255,Glass Premium Fiber,53.837500000000006,9.8,1.585,1,10,1.0,0.22941176470588237,0.6
256,Flax Fiber Consumer Large,21.2,7.1,0.79,1,7,0.49842271293375395,0.21648715824357914,0.7106309148264984
257,Biodegradable HDPE Industrial Blend,18.9,6.8,0.34,1,6,0.21451104100946375,0.177681660899654,0.7941955835962144
258,Bamboo Paper Standard Small,16.8,6.0,0.82,1,7,0.5173501577287066,0.2842156862745099,0.7030599369085173
259,Jute-Poly Blend Premium Fiber,20.2,6.9,0.55,1,9,0.34700315457413256,0.3358056265984655,0.831198738170347
260,Biodegradable HDPE Premium Pack,14.7,6.2,0.77,1,6,0.4858044164037855,0.20967741935483875,0.6856782334384857
261,Husk-Molded Packaging Sheet,42.5,6.7,0.48,1,8,0.3028391167192429,0.294468832309043,0.8188643533123028
262,Recycled Jute Mix Consumer Sheet,25.2,2.6,0.23,1,6,0.14511041009463724,0.711764705882353,0.821955835962145
263,Recycled Glass Fiber Consumer Sheet,11.6,6.3,0.13,1,8,0.08201892744479496,0.32287581699346407,0.9071924290220821
264,Hemp Bioplastic Industrial Pack,17.4,4.9,0.4,1,7,0.2523659305993691,0.38235294117647056,0.8090536277602524
265,Leaf-Based Polymer Recycled Large,46.3,2.8,0.71,1,6,0.4479495268138801,0.65,0.7008201892744479
266,Areca Leaf Plate Premium Sheet,20.5,8.1,0.4,1,7,0.2523659305993691,0.17087872185911407,0.8090536277602524
267,Areca Leaf Plate Consumer Medium,22.2,6.5,0.89,1,7,0.5615141955835963,0.25058823529411767,0.6853943217665615
268,Kenaf Fiber Premium Blend,15.9,7.1,0.27,1,8,0.17034700315457416,0.2692626346313174,0.8718611987381704
269,Palm Husk Fiber Pack,14.7,6.2,0.84,1,6,0.5299684542586751,0.20967741935483875,0.66801261829653
270,Steel Container Premium Pack,53.837500000000006,11.15,1.56,1,9,0.9842271293375395,0.14951200211026117,0.5763091482649843
271,BioFoam Composite Medium,22.0,4.7,1.12,1,7,0.7066246056782335,0.40513141426783483,0.6273501577287066
272,Bagasse Composite Standard Medium,50.5,8.3,0.64,1,6,0.4037854889589906,0.11793054571226079,0.7184858044164038
273,Palm Husk Fiber Standard,11.5,6.9,0.72,1,7,0.45425867507886436,0.2271952259164535,0.7282965299684542
274,Recycled Cotton Recycled Medium,13.3,2.5,0.2,1,7,0.12618296529968456,0.8962352941176471,0.8595268138801262
275,Leaf Husk Biopolymer Industrial Small,21.6,8.5,0.97,1,6,0.61198738170347,0.11155709342560559,0.6352050473186119
276,Citrus Waste Polymer Standard Pack,8.5,9.6,0.84,1,5,0.5299684542586751,0.042218137254902,0.63801261829653
277,Recycled Jute Mix Industrial Blend,35.5,3.4,0.38,1,7,0.23974763406940064,0.6185121107266437,0.8141009463722397
278,Bio-based Nylon HeavyDuty,29.4,7.6,0.66,1,6,0.416403785488959,0.1428792569659443,0.7134384858044163
279,Cork Industrial Small,45.8,3.4,0.58,1,6,0.3659305993690852,0.5083044982698962,0.733627760252366
280,Bamboo-Silk Blend Lightweight Fiber,20.2,6.0,0.9,1,6,0.5678233438485805,0.22176470588235297,0.6528706624605678
281,Flax Fiber Lightweight,19.1,5.2,0.44,1,7,0.277602523659306,0.3514705882352941,0.7989589905362775
282,Foam (EPS) HeavyDuty Pack,7.9,2.3,1.585,0,5,1.0,0.6616368286445015,0.15
283,Glass Premium Small,53.837500000000006,11.15,1.585,1,9,1.0,0.14951200211026117,0.5700000000000001
284,Jute Stick Composite Blend Large,21.5,6.6,0.43,1,6,0.27129337539432175,0.18770053475935833,0.7714826498422713
285,Mixed Natural Fiber Consumer Fiber,23.5,6.4,0.37,1,8,0.2334384858044164,0.3154411764705883,0.8466246056782334
286,Bamboo Paper Industrial Pack,29.1,5.8,0.7,1,8,0.4416403785488959,0.3638945233265721,0.7633438485804417
287,Organic Resin Foam Fiber,8.3,2.6,1.585,0,6,1.0,0.711764705882353,0.18
288,Leaf-Based Polymer,44.0,9.7,0.97,1,5,0.61198738170347,0.040206185567010354,0.605205047318612
289,Organic BioFoam Lightweight Large,19.4,4.9,0.99,1,7,0.6246056782334385,0.38235294117647056,0.6601577287066246
290,Plant Fiber Polymer Premium Pack,10.8,7.3,0.34,1,8,0.21451104100946375,0.25769540692989523,0.8541955835962145
291,Husk-Molded Packaging Lightweight Medium,38.0,6.8,0.76,1,7,0.4794952681388013,0.23278546712802775,0.7182018927444794
292,PLA-Starch Blend HeavyDuty Small,19.3,6.1,0.88,1,9,0.555205047318612,0.39990356798457094,0.7479179810725552
293,Bamboo Fiber Standard Fiber,22.1,4.0,0.51,1,7,0.3217665615141956,0.5027941176470588,0.7812933753943218
294,Bamboo Paper Blend,23.8,5.8,0.42,1,7,0.26498422712933756,0.299290060851927,0.804006309148265
295,Jute-Poly Blend Standard Large,25.9,7.5,0.69,1,7,0.43533123028391163,0.1967843137254902,0.7358675078864353
296,Cotton Waste Composite Recycled Blend,15.3,4.2,0.49,1,8,0.30914826498422715,0.5607843137254902,0.8163406940063092
297,Cotton Fabric Premium Pack,17.1,6.0,0.78,1,9,0.49211356466876977,0.4091176470588236,0.7731545741324921
298,Husk BioBoard Large,19.3,7.7,0.55,1,6,0.34700315457413256,0.13903743315508027,0.7411987381703469
299,Recycled Glass Fiber Lightweight Large,20.0,3.9,0.22,1,6,0.138801261829653,0.42352941176470593,0.8244794952681387
300,Wood Pulp Composite HeavyDuty Pack,24.1,5.0,0.8,1,8,0.5047318611987383,0.44658823529411773,0.7381072555205047
301,Bamboo-Silk Blend HeavyDuty Small,30.8,4.9,0.75,1,8,0.47318611987381703,0.4588235294117647,0.7507255520504732
302,Bioplastic (PHA) HeavyDuty Pack,13.7,5.5,0.77,1,9,0.4858044164037855,0.4602139037433156,0.7756782334384857
303,Green Paper Pack,33.5,3.5,0.74,1,8,0.4668769716088328,0.703529411764706,0.7532492113564668
304,Bio-cellulose Film Lightweight Blend,13.7,6.2,1.08,1,5,0.6813880126182966,0.14924098671726757,0.5774447949526813
305,Biodegradable HDPE Recycled Fiber,23.3,6.5,0.29,1,6,0.1829652996845426,0.19294117647058828,0.806813880126183
306,Reed Fiber Consumer Blend,24.7,4.5,0.43,1,7,0.27129337539432175,0.4299346405228759,0.8014826498422712
307,Bio-cellulose Film Lightweight,11.9,4.6,0.78,1,5,0.49211356466876977,0.2543478260869566,0.6531545741324921
308,Kenaf-Pulp Blend Blend Sheet,39.5,3.8,0.56,1,6,0.35331230283911674,0.4386996904024768,0.7386750788643532
309,Corn Bagasse Blend Recycled,43.2,7.4,0.17,1,5,0.10725552050473187,0.10023847376788556,0.8070977917981074
310,Aluminum Can Premium,53.837500000000006,11.15,1.585,1,10,1.0,0.18311791084146664,0.6
311,Corn-Based BioWrap Recycled,17.4,4.7,0.2,1,7,0.12618296529968456,0.40513141426783483,0.8595268138801262
312,Corn-Based BioWrap HeavyDuty Blend,21.2,8.9,0.68,1,9,0.4290220820189275,0.2259748843357568,0.7983911671924291
313,Orange Peel Composite Industrial Pack,53.837500000000006,5.4,0.86,1,8,0.5425867507886435,0.40217864923747276,0.7229652996845426
314,Wheat Straw Fiber Fiber,28.4,3.6,0.79,1,6,0.49842271293375395,0.4715686274509804,0.6806309148264984
315,Leaf Husk Biopolymer Industrial Small,20.5,9.5,1.08,1,9,0.6813880126182966,0.2020433436532508,0.6974447949526814
316,Recycled Jute Mix Composite Fiber,30.9,2.7,0.1,1,6,0.06309148264984228,0.6797385620915032,0.8547634069400631
317,Recycled Aluminum Composite Small,53.837500000000006,6.6,0.23,1,8,0.14511041009463724,0.30124777183600715,0.8819558359621451
318,Bamboo Husk Sheet HeavyDuty Sheet,32.4,5.2,0.83,1,7,0.5236593059936908,0.3514705882352941,0.7005362776025237
319,Bio-PET Industrial Pack,20.8,10.1,0.56,1,8,0.35331230283911674,0.14385556202679095,0.7986750788643533
320,Husk-Molded Packaging Blend,31.3,7.5,0.68,1,6,0.4290220820189275,0.14682352941176474,0.708391167192429
321,Hard Paper Shell Lightweight Sheet,14.9,6.6,0.69,1,7,0.43533123028391163,0.2444741532976827,0.7358675078864353
322,Cork Composite Small,16.1,6.9,0.55,1,5,0.34700315457413256,0.11858482523444164,0.711198738170347
323,Organic Starch Plate Blend,11.7,7.6,0.67,1,8,0.42271293375394325,0.24148606811145512,0.7709148264984227
324,Husk-Molded Packaging Consumer Blend,12.6,9.2,0.95,1,6,0.5993690851735015,0.09143222506393865,0.6402523659305994
325,Bio-PET Standard Large,17.5,8.1,0.93,1,7,0.5867507886435331,0.17087872185911407,0.6752996845425867
326,Orange Peel Composite Composite Blend,40.5,6.7,0.25,1,5,0.15772870662460567,0.1266900790166813,0.7869085173501578
327,Plant Fiber Polymer Industrial,26.9,6.5,0.96,1,7,0.6056782334384858,0.25058823529411767,0.6677287066246057
328,Water Hyacinth Fiber Recycled Medium,21.1,5.2,0.24,1,8,0.15141955835962145,0.4235294117647059,0.8794321766561515
329,Hemp Pulp Board Recycled Blend,26.9,7.9,0.25,1,8,0.15772870662460567,0.22650781831720027,0.8769085173501577
330,Brewery Waste Composite Industrial Small,45.8,9.8,0.67,1,9,0.42271293375394325,0.19117647058823528,0.8009148264984227
331,Corrugated Fiberboard Large,28.6,4.6,0.83,1,7,0.5236593059936908,0.4172634271099745,0.7005362776025237
332,Hybrid EcoComposite HeavyDuty Pack,13.5,5.4,0.2,1,6,0.12618296529968456,0.26339869281045747,0.8295268138801262
333,Recycled Cotton Standard Fiber,19.0,7.3,0.38,1,8,0.23974763406940064,0.25769540692989523,0.8441009463722398
334,Aluminum Can Premium Small,53.837500000000006,11.15,1.18,1,9,0.7444794952681387,0.14951200211026117,0.6722082018927446
335,Leaf Fiber Biocomp Lightweight Medium,8.9,7.2,1.29,1,6,0.8138801261829653,0.1593137254901961,0.5544479495268139
336,Algae Bioplastic Recycled Pack,9.5,6.8,0.36,1,8,0.22712933753943218,0.2878892733564014,0.8491482649842271
337,Zero-Waste Fabric Industrial Blend,15.5,8.2,0.79,1,9,0.49842271293375395,0.2583213773314204,0.7706309148264985
338,Tea Waste Composite Industrial Medium,53.837500000000006,4.8,0.4,1,6,0.2523659305993691,0.3154411764705883,0.7790536277602524
339,Coconut Shell Fiber Premium Medium,26.7,4.9,0.61,1,7,0.38485804416403785,0.38235294117647056,0.7560567823343848
340,Organic Resin Foam Lightweight Pack,5.0,1.9,1.585,0,4,1.0,0.6359133126934985,0.12
341,Organic Starch Plate Blend Sheet,24.4,5.7,0.61,1,7,0.38485804416403785,0.3072239422084624,0.7560567823343848
342,Husk BioBoard Consumer Pack,18.6,6.2,0.43,1,8,0.27129337539432175,0.33055028462998104,0.8314826498422713
343,Bamboo-Silk Blend Standard Pack,24.6,6.0,0.67,1,8,0.42271293375394325,0.3466666666666667,0.7709148264984227
344,EcoFilm Polymer Recycled Blend,50.1,3.4,0.63,1,7,0.39747634069400634,0.6185121107266437,0.7510094637223974
345,Organic Resin Foam HeavyDuty Blend,8.3,4.5,1.585,0,7,1.0,0.4299346405228759,0.21
346,Coffee Husk Polymer Industrial Sheet,45.5,8.5,0.83,1,9,0.5236593059936908,0.24380622837370244,0.7605362776025237
347,Recycled Aluminum Consumer Fiber,53.837500000000006,3.1,0.17,1,7,0.10725552050473187,0.6931688804554079,0.8670977917981073
348,Hard Paper Shell Composite Large,34.6,6.3,0.73,1,7,0.4605678233438486,0.2633986928104576,0.7257728706624605
349,Starch-Coir Composite Premium Fiber,21.9,8.3,0.41,1,8,0.2586750788643533,0.2082211197732105,0.8365299684542586
350,BioFoam Blend,22.6,8.0,1.06,1,5,0.6687697160883281,0.08125000000000003,0.5824921135646688
351,Mushroom Packaging Industrial Fiber,53.837500000000006,6.2,0.32,1,8,0.2018927444794953,0.33055028462998104,0.8592429022082019
352,Coconut Shell Fiber HeavyDuty Blend,31.7,6.4,0.62,1,7,0.3911671924290221,0.2568933823529412,0.7535331230283911
353,Plastic (LDPE) HeavyDuty Sheet,22.9,7.9,0.43,1,6,0.27129337539432175,0.13164556962025317,0.7714826498422713
354,Citrus Waste Polymer Lightweight Blend,21.3,6.7,0.34,1,7,0.21451104100946375,0.2385425812115891,0.8241955835962145
355,Steel Container Consumer Blend,53.837500000000006,10.3,1.585,1,9,1.0,0.17447173043974873,0.5700000000000001
356,Recycled Paper HeavyDuty Fiber,53.837500000000006,4.8,0.1,1,9,0.06309148264984228,0.5496323529411765,0.9447634069400631
357,Citrus Waste Polymer HeavyDuty Small,53.837500000000006,4.2,0.72,1,8,0.45425867507886436,0.5607843137254902,0.7582965299684542
358,Recycled Jute Mix Recycled Sheet,24.2,4.1,0.22,1,7,0.138801261829653,0.48680057388809195,0.8544794952681387
359,Coco-Peat Composite Blend Small,14.6,9.4,0.3,1,7,0.1892744479495268,0.1260951188986233,0.8342902208201892
360,Bamboo Husk Sheet Composite Fiber,29.3,5.1,0.86,1,8,0.5425867507886435,0.4348327566320647,0.7229652996845426
361,Mushroom Packaging Industrial,52.1,10.2,0.47,1,8,0.29652996845425866,0.14094579008073824,0.8213880126182965
362,Coco-Peat Composite Lightweight Large,23.7,3.4,0.97,1,4,0.61198738170347,0.2878892733564014,0.575205047318612
363,Plant Fiber Polymer Recycled Large,17.8,5.1,0.59,1,5,0.37223974763406936,0.21441753171856984,0.7011041009463723
364,Palm Fiber Polymer Lightweight Fiber,11.6,6.1,0.25,1,7,0.15772870662460567,0.27704918032786896,0.8469085173501577
365,Steel Container Lightweight Blend,53.837500000000006,6.2,1.585,1,8,1.0,0.33055028462998104,0.54
366,Banana Fiber Recycled,23.9,7.1,0.18,1,8,0.11356466876971609,0.2692626346313174,0.8945741324921136
367,Plastic (HDPE) Composite,23.7,6.4,0.69,1,6,0.43533123028391163,0.19834558823529413,0.7058675078864354
368,Jute-Poly Blend Composite Sheet,12.3,4.9,0.62,1,6,0.3911671924290221,0.30588235294117644,0.7235331230283912
369,Cassava Starch Polymer HeavyDuty Large,15.3,7.7,0.5,1,9,0.31545741324921134,0.28502673796791445,0.8438170347003154
370,Pineapple Leaf Fiber Blend Medium,17.3,7.9,0.34,1,8,0.21451104100946375,0.22650781831720027,0.8541955835962145
371,Banana Fiber HeavyDuty Small,28.5,4.3,0.31,1,8,0.19558359621451105,0.5441860465116279,0.8617665615141956
372,Organic BioFoam Blend Large,10.0,6.7,0.75,1,8,0.47318611987381703,0.294468832309043,0.7507255520504732
373,Algae Bioplastic Medium,24.1,8.3,1.01,1,6,0.637223974763407,0.11793054571226079,0.6251104100946372
374,BioFoam Industrial Pack,25.2,8.6,0.7,1,8,0.4416403785488959,0.1956224350205199,0.7633438485804417
375,Hard Paper Shell Recycled,34.4,3.7,0.28,1,5,0.17665615141955837,0.3534181240063593,0.7793375394321768
376,Mango Seed Polymer Industrial Pack,45.9,4.0,0.53,1,9,0.33438485804416407,0.6901470588235294,0.8362460567823344
377,Sugar Palm Fiber Consumer Medium,27.5,5.6,0.73,1,8,0.4605678233438486,0.3823529411764706,0.7557728706624606
378,Cotton Fabric Industrial Sheet,28.9,4.4,0.37,1,7,0.2334384858044164,0.4431818181818182,0.8166246056782334
379,Rice Straw Pulp Recycled Fiber,31.7,5.9,0.53,1,8,0.33438485804416407,0.3551345962113659,0.8062460567823344
380,Biodegradable HDPE Recycled Blend,18.5,5.8,0.26,1,5,0.1640378548895899,0.170081135902637,0.784384858044164
381,Leaf-Pulp Shell Recycled Large,35.9,4.6,0.41,1,6,0.2586750788643533,0.3358056265984655,0.7765299684542586
382,Coconut Shell Fiber Industrial Small,21.2,4.1,0.56,1,7,0.35331230283911674,0.48680057388809195,0.7686750788643533
383,PLA-Starch Blend Blend Sheet,16.7,6.9,0.65,1,5,0.41009463722397477,0.11858482523444164,0.6859621451104101
384,Recycled Steel Recycled Pack,53.837500000000006,3.2,0.16,1,8,0.10094637223974764,0.7838235294117648,0.899621451104101
385,Cardboard Blend Pack,19.5,5.0,0.35,1,8,0.22082018927444794,0.44658823529411773,0.8516719242902209
386,Recycled Paper,43.5,6.2,0.41,1,7,0.2586750788643533,0.27011385199240984,0.8065299684542586
387,Coffee BioResin Blend,12.3,4.7,1.21,1,8,0.7634069400630915,0.48485607008760956,0.6346372239747634
388,Hybrid Starch Plastic Recycled Large,10.6,4.4,0.38,1,7,0.23974763406940064,0.4431818181818182,0.8141009463722397
389,Corn Bagasse Blend Composite Large,16.0,6.3,0.54,1,6,0.3406940063091483,0.20392156862745106,0.7437223974763407
390,Leaf Husk Biopolymer Premium Pack,21.7,10.9,0.96,1,6,0.6056782334384858,0.05331894225580144,0.6377287066246057
391,Sugar Palm Fiber HeavyDuty Small,25.0,9.2,0.9,1,9,0.5678233438485805,0.21361892583120212,0.7428706624605679
392,Mango Seed Polymer Standard Pack,53.5,3.3,1.12,1,6,0.7066246056782335,0.5283422459893049,0.5973501577287066
393,Husk BioBoard Industrial,12.2,7.7,0.41,1,7,0.2586750788643533,0.18770053475935833,0.8065299684542586
394,Bio-EVA Composite Medium,25.1,4.7,0.32,1,7,0.2018927444794953,0.40513141426783483,0.8292429022082018
395,Aluminum Can Recycled Sheet,53.837500000000006,10.4,1.24,1,8,0.7823343848580442,0.13529411764705884,0.6270662460567823
396,Palm Fiber Polymer Blend Medium,18.3,7.7,0.71,1,8,0.4479495268138801,0.23636363636363636,0.7608201892744479
397,Sisal Fiber HeavyDuty Sheet,24.4,8.3,0.46,1,8,0.2902208201892745,0.2082211197732105,0.8239116719242903
398,Pineapple Leaf Fiber Consumer Pack,25.4,5.8,0.59,1,7,0.37223974763406936,0.299290060851927,0.7611041009463723
399,Hybrid Starch Plastic HeavyDuty Pack,27.0,5.6,0.54,1,8,0.3406940063091483,0.3823529411764706,0.8037223974763407
400,Coffee BioResin Industrial Pack,18.5,7.4,0.82,1,7,0.5173501577287066,0.2015103338632751,0.7030599369085173
401,Palm Fiber Polymer Composite Small,25.7,6.9,0.4,1,6,0.2523659305993691,0.1728900255754476,0.7790536277602524
402,Leaf Fiber Biocomp Lightweight Medium,8.9,4.2,0.7,1,5,0.4416403785488959,0.2931372549019608,0.6733438485804417
403,Recycled Fiber Foam Premium Fiber,27.4,5.9,0.43,1,8,0.27129337539432175,0.3551345962113659,0.8314826498422713
404,Leaf-Pulp Shell Consumer Sheet,39.9,3.2,0.73,1,6,0.4605678233438486,0.5496323529411765,0.6957728706624606
405,Aluminum Can Blend,53.837500000000006,11.15,1.585,1,8,1.0,0.11590609337905568,0.54
406,Paperboard Consumer Small,39.5,4.0,0.44,1,6,0.277602523659306,0.4091176470588236,0.7689589905362775
407,Hard Paper Shell Composite Pack,19.2,5.1,0.56,1,6,0.35331230283911674,0.2878892733564014,0.7386750788643532
408,Bio-EVA Blend Sheet,16.3,4.9,1.02,1,6,0.6435331230283912,0.30588235294117644,0.6225867507886436
409,Hemp Fiber Premium Blend,19.8,5.0,0.46,1,9,0.2902208201892745,0.5215294117647059,0.8539116719242903
410,Corrugated Fiberboard Sheet,31.3,5.4,0.8,1,7,0.5047318611987383,0.33278867102396514,0.7081072555205047
411,Cotton-Pulp Composite Large,24.5,8.2,0.65,1,7,0.41009463722397477,0.16692969870875185,0.74596214511041
412,Wood Pulp Composite Lightweight Blend,32.1,4.7,0.52,1,5,0.3280757097791798,0.24568210262828538,0.7187697160883281
413,Coffee BioResin Recycled Fiber,10.4,5.9,0.64,1,5,0.4037854889589906,0.16460618145563313,0.6884858044164038
414,Palm Leaf HeavyDuty,21.7,5.8,0.28,1,6,0.17665615141955837,0.234685598377282,0.8093375394321767
415,Plastic (LDPE) Recycled Blend,13.3,4.1,0.64,1,6,0.4037854889589906,0.39540889526542333,0.7184858044164038
416,Palm Leaf Lightweight Large,39.3,7.6,0.82,1,6,0.5173501577287066,0.1428792569659443,0.6730599369085173
417,Kenaf-Pulp Blend Consumer Medium,23.4,7.3,0.48,1,5,0.3028391167192429,0.10370668815471396,0.7288643533123028
418,Coconut Shell Fiber Industrial Sheet,34.5,8.9,0.71,1,8,0.4479495268138801,0.18387309980171848,0.7608201892744479
419,Bagasse Bioplastic Consumer Fiber,18.8,5.3,0.41,1,6,0.2586750788643533,0.2712541620421754,0.7765299684542586
420,Rice Straw Pulp HeavyDuty Fiber,53.0,4.9,0.79,1,6,0.49842271293375395,0.30588235294117644,0.6806309148264984
421,Recycled Pulp Fiber Lightweight Blend,17.9,5.3,0.3,1,6,0.1892744479495268,0.2712541620421754,0.8042902208201892
422,Organic BioFoam Blend Pack,21.3,4.5,0.58,1,5,0.3659305993690852,0.2633986928104576,0.703627760252366
423,Plastic (LDPE) Composite Large,15.0,8.0,0.98,1,8,0.6182965299684543,0.22176470588235297,0.6926813880126182
424,Bio-cellulose Film Industrial Large,24.4,8.8,0.47,1,7,0.29652996845425866,0.145120320855615,0.7913880126182965
425,Bamboo Husk Sheet Composite Small,23.6,6.3,0.6,1,6,0.3785488958990536,0.20392156862745106,0.7285804416403785
426,Algae Fiber Board Composite Sheet,21.1,6.3,0.49,1,6,0.30914826498422715,0.20392156862745106,0.7563406940063091
427,Bioplastic (PHA) Blend Pack,9.8,4.0,0.98,1,6,0.6182965299684543,0.4091176470588236,0.6326813880126183
428,Kenaf Fiber Lightweight Blend,14.0,7.1,0.3,1,6,0.1892744479495268,0.163711681855841,0.8042902208201892
429,Aluminum Can Premium,53.837500000000006,11.15,1.24,1,9,0.7823343848580442,0.14951200211026117,0.6570662460567823
430,Bioplastic (PLA) Composite Large,23.4,8.6,1.2,1,7,0.7570977917981072,0.15205198358413136,0.6071608832807571
431,Coconut Coir Large,22.2,4.4,0.43,1,8,0.27129337539432175,0.5283422459893048,0.8314826498422713
432,Jute Consumer Large,17.8,4.3,0.53,1,7,0.33438485804416407,0.45704514363885096,0.7762460567823344
433,Rice Straw Pulp Premium Large,27.3,8.8,0.41,1,8,0.2586750788643533,0.18770053475935833,0.8365299684542586
434,Recycled Aluminum HeavyDuty,53.837500000000006,6.6,0.38,1,9,0.23974763406940064,0.3580213903743316,0.8741009463722398
435,Palm Husk Fiber HeavyDuty Medium,24.6,4.9,0.97,1,7,0.61198738170347,0.38235294117647056,0.665205047318612
436,Bamboo Mesh Recycled Medium,19.0,4.8,0.16,1,6,0.10094637223974764,0.3154411764705883,0.8396214511041009
437,Palm Leaf Standard Medium,14.9,10.2,0.88,1,6,0.555205047318612,0.06747404844290661,0.6579179810725553
438,Recycled Paper Composite Large,41.0,4.2,0.24,1,7,0.15141955835962145,0.4715686274509804,0.8494321766561514
439,Rice Straw Pulp Composite,36.9,5.5,0.7,1,7,0.4416403785488959,0.3239572192513369,0.7333438485804417
440,Corn Starch Polymer Recycled,13.6,7.2,0.3,1,6,0.1892744479495268,0.1593137254901961,0.8042902208201892
441,Coconut Coir Blend Small,9.5,7.0,1.19,1,7,0.750788643533123,0.22176470588235297,0.6096845425867508
442,Palm Fiber Polymer Lightweight Blend,9.6,5.4,0.9,1,7,0.5678233438485805,0.33278867102396514,0.6828706624605678
443,Bamboo Paper Composite Small,29.4,5.9,0.31,1,6,0.19558359621451105,0.22811565304087736,0.8017665615141956
444,Bamboo Paper Consumer Large,17.4,4.3,0.31,1,8,0.19558359621451105,0.5441860465116279,0.8617665615141956
445,Organic BioFoam Standard Pack,18.8,9.2,0.37,1,8,0.2334384858044164,0.17289002557544764,0.8466246056782334
446,Hard Paper Shell Standard,27.8,5.6,0.42,1,7,0.26498422712933756,0.3154411764705883,0.804006309148265
447,Corn Husk Polymer Blend Fiber,37.5,9.5,1.33,1,8,0.8391167192429023,0.16260061919504645,0.6043533123028391
448,Algae Fiber Board Lightweight Blend,18.3,4.4,0.56,1,7,0.35331230283911674,0.4431818181818182,0.7686750788643533
449,Bio-Resin Plate Industrial Small,12.5,5.6,0.46,1,7,0.2902208201892745,0.3154411764705883,0.7939116719242902
450,Mango Seed Polymer Lightweight Sheet,30.8,9.3,0.21,1,5,0.13249211356466878,0.0485135989879823,0.7970031545741325
451,Corn Bagasse Blend HeavyDuty Small,53.837500000000006,10.7,0.24,1,7,0.15141955835962145,0.09219351291918643,0.8494321766561514
452,Coconut Coir Recycled Sheet,33.1,4.8,0.25,1,6,0.15772870662460567,0.3154411764705883,0.8169085173501578
453,Paper-Pulp Mold Pack,47.5,5.2,0.47,1,8,0.29652996845425866,0.4235294117647059,0.8213880126182965
454,Hard Paper Shell Consumer Fiber,30.3,4.6,0.66,1,5,0.416403785488959,0.2543478260869566,0.6834384858044164
455,Steel Container Lightweight Large,53.837500000000006,10.4,1.585,1,7,1.0,0.09926470588235295,0.51
