Material_Type,Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent
Starch-Based Bioplastic,65.27,1.32,0.92,2.21,34.85
Starch-Based Bioplastic,53.85,8.01,0.47,0.07,38.14
Bamboo Pulp,8.8,1.44,0.87,1.05,73.46
Glass (Recycled),91.87,8.3,0.35,2.37,29.29
Compostable PLA,48.59,1.2,0.31,2.13,23.39
Bagasse Fiber,7.03,9.94,0.54,1.57,59.58
Recycled Paperboard,25.18,8.72,0.73,1.24,64.28
Bagasse Fiber,11.86,0.06,0.78,1.96,68.07
Recycled Paperboard,10.95,9.11,0.74,1.65,92.9
Biodegradable Polymer,50.4,7.62,0.84,2.18,27.95
Palm Leaf Material,43.6,1.75,0.61,2.32,55.28
Compostable PLA,54.1,2.95,0.34,1.9,58.32
Mycelium Packaging,27.67,8.19,0.67,2.49,31.42
Biodegradable Polymer,6.47,5.24,0.34,0.49,90.72
Bamboo Pulp,57.7,3.95,0.99,0.42,72.59
Recycled Paperboard,9.83,0.42,0.89,1.22,55.02
Bamboo Pulp,30.73,5.59,0.5,0.3,74.21
Aluminum (Recycled),65.87,4.8,0.56,1.6,82.05
Aluminum (Recycled),103.73,6.25,0.99,0.4,65.16
Biodegradable Polymer,94.99,3.7,0.76,1.96,48.4
Glass (Recycled),88.95,8.58,0.33,1.15,99.18
Aluminum (Recycled),96.13,5.99,0.47,0.17,27.32
Biodegradable Polymer,108.59,5.9,0.33,0.53,34.95
Mycelium Packaging,117.54,8.56,0.57,1.03,62.37
Biodegradable Polymer,107.78,5.29,0.92,1.6,43.28
Palm Leaf Material,71.1,9.35,0.44,0.58,40.19
Aluminum (Recycled),9.44,9.92,0.69,1.46,77.96
Mycelium Packaging,65.39,2.47,0.31,0.32,28.4
Compostable PLA,102.07,0.62,0.91,0.74,64.73
Aluminum (Recycled),59.6,4.41,0.57,0.84,28.77
Mycelium Packaging,10.06,8.34,0.43,2.4,92.49
Aluminum (Recycled),74.54,9.07,0.7,0.77,83
Mycelium Packaging,44.87,5.72,0.45,1.87,63.3
Compostable PLA,36.98,2.73,0.64,0.89,27.04
Mycelium Packaging,49.24,7,0.62,1.11,23.44
Bagasse Fiber,29.23,5.59,0.88,2.48,90.08
Glass (Recycled),26.29,9.11,0.84,1.58,22.48
