MATERIAL_ID,MATERIAL_TYPE,STRENGTH,WEIGHT_CAPACITY,BIODEGRADABILITY_SCORE,Co2_EMISSION_SCORE,RECYCLABILITY_PERCENTAGE,INDUSTRY_CATEGORY
487,Compostable Starch Polymer,46,5,85,50,76,Logistics
488,Recycled Cardboard,118,1,80,87,53,Pharmaceutical
489,Recycled Cardboard,95,43,83,1,84,Food & Beverage
490,Seaweed-Based Film,63,34,32,64,75,Pharmaceutical
491,Compostable Starch Polymer,65,3,72,30,24,Cosmetics
492,Palm Leaf,53,39,99,15,40,Pharmaceutical
493,Bamboo Composite,50,59,31,71,100,Logistics
494,Aluminum (Recycled),49,47,11,55,8,Logistics
495,Compostable Starch Polymer,80,32,54,3,91,Logistics
496,Bamboo Composite,45,33,81,32,43,Electronics
497,Aluminum (Recycled),66,24,72,10,20,Electronics
498,Aluminum (Recycled),74,40,34,38,90,Electronics
499,Glass (Lightweight),48,50,66,66,40,Cosmetics
500,Bamboo Composite,46,54,7,22,38,Food & Beverage
