Material_ID,Material_Type,Strength,Weight_Capacity,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent
M-1490,Aluminum,157.78,59.9,0.37,46.98,15.27
M-1130,Plastic,304.26,71.4,0.82,44.6,4.48
M-0673,Wood,68.71,82.59,0.6,9.56,39.04
M-1149,Glass,209.92,28.66,0.09,22.59,25.77
M-1141,Wood,94.63,35.69,0.32,5.32,15.05
M-1259,Cotton,79.41,85.5,0.18,42.87,69.35
M-0640,Cotton,254.21,84.4,0.04,,42.38
M-1218,Plastic,213.01,68.44,,4.46,3.28
M-1386,Paper,450.62,51.18,0.38,17.56,6.35
M-0232,Paper,396.91,88.32,0.81,15.4,53.66
M-0941,Paper,128.68,34.24,0.37,35.17,7.24
M-0429,Aluminum,392.46,15.59,0.33,35.9,21.05
M-0079,Bamboo,381.88,65.46,0.84,22.54,67.61
M-0933,Aluminum,338.44,34.43,0.94,6.7,61.49
M-1169,Glass,226.19,27.04,0.76,38.33,11.38
M-0617,Aluminum,372.12,54.09,0.08,36.88,49.32
M-0761,Paper,415.84,57.14,0.17,40.38,83.69
M-0491,Cotton,440.88,39.74,0.68,44.66,81.94
M-1411,Paper,343.02,53.44,0.62,29.04,96.28
M-1067,Steel,182.95,50.98,0.91,36.45,25.35
M-0909,Bamboo,228.64,83.35,0.19,,47.7
M-0969,Wood,492.66,73.28,0.44,19.29,42.59
M-0315,Glass,239.61,43.27,0.87,46.6,13.1
M-0137,Aluminum,343.74,40.26,0.92,22.83,20.69
M-0882,Wood,206.41,83.18,0.31,38.06,60.32
M-0527,Glass,158.92,9.17,0.4,31.71,30.15
M-0691,Plastic,486.46,30.21,0.87,21.15,63.93
M-0772,Steel,470.5,46.11,0.58,42.81,50.58
M-0434,Cotton,469.41,41.01,0.32,11.37,77.12
M-0203,Bamboo,128.92,57.98,0.97,11.46,44.68
M-0639,Plastic,486.42,82.03,0.1,40.24,28.63
M-1114,Bamboo,295.26,30.09,0.33,24.02,62.73
M-0798,Bamboo,,37.92,0.65,25.8,25.26
M-1019,Cotton,219.15,64.7,0.71,15.85,10.29
M-1046,Glass,88.16,11.32,0.32,44.18,0.07
M-0298,Bamboo,,43.72,0.56,3.42,2.03
M-0966,Aluminum,497.69,16.17,0.32,40.36,95.41
M-0945,Steel,215.39,38.67,0.44,34.9,93.6
M-1382,Paper,55.67,19.44,0.51,7.78,60.86
M-1267,Bamboo,206.3,13.08,0.04,42.42,47.32
M-0769,Paper,159.57,11.49,0.2,27.77,78.7
M-0109,Wood,304.18,55.73,0.4,42.81,90.96
M-0285,Plastic,84.63,75.1,0.16,9.0,44.57
M-0393,Cotton,355.11,79.27,0.09,17.01,77.47
M-0268,Cotton,,50.3,0.9,38.62,7.85
M-0098,Paper,498.59,39.38,,13.62,44.89
M-0854,Glass,209.75,46.23,0.37,45.39,90.4
M-0863,Plastic,289.83,72.84,0.49,46.24,90.19
M-0446,Glass,442.19,54.31,0.19,16.16,54.18
M-0166,Aluminum,246.26,96.58,0.4,19.93,17.28
M-0559,Cotton,202.75,50.31,0.83,31.85,
M-1082,Steel,320.85,75.51,0.74,36.14,41.35
M-0077,Paper,205.86,83.01,0.47,5.05,19.72
M-0947,,61.62,94.41,0.51,12.93,41.44
M-0702,Cotton,,71.23,0.58,8.82,43.71
M-0839,Paper,242.69,60.38,0.67,35.76,52.19
M-1347,Glass,309.92,26.83,0.84,6.76,
M-1040,Glass,283.28,24.33,,23.16,58.14
M-1266,Glass,234.99,94.11,0.21,12.41,77.22
M-1308,Cotton,235.29,51.34,0.28,3.59,23.45
M-0590,Steel,63.79,40.31,0.22,31.87,53.36
M-1246,,345.63,25.07,0.9,7.4,27.32
M-0196,Plastic,54.95,33.72,0.02,10.76,76.33
M-0167,Cotton,,41.5,0.73,18.32,37.94
M-1496,Steel,,25.18,0.58,49.73,66.94
M-1004,Aluminum,158.54,16.13,0.51,1.89,42.54
M-0414,Aluminum,384.58,69.39,0.38,29.36,69.93
M-0546,Cotton,,61.39,0.3,39.96,97.83
M-0015,Cotton,65.09,62.67,0.49,48.62,79.28
M-0619,Bamboo,130.86,31.84,0.16,40.84,
M-0619,Bamboo,130.86,31.84,0.16,40.84,
M-0723,Paper,445.33,79.69,0.21,40.45,87.08
M-1482,,71.66,96.97,0.42,11.96,45.19
M-0460,Glass,498.71,32.86,0.06,45.44,79.47
M-1048,Aluminum,82.44,12.04,0.78,5.08,16.45
M-0019,Cotton,203.94,,0.16,43.04,88.13
M-0630,Bamboo,,22.68,0.51,24.91,8.92
M-1080,Aluminum,181.77,68.76,0.5,3.58,
M-1415,Plastic,262.08,57.36,0.15,44.78,37.63
M-0367,,91.17,39.22,0.92,43.98,80.44
M-0105,Plastic,142.31,73.78,0.66,27.13,1.94
M-0935,Cotton,109.64,53.93,0.78,2.08,9.37
M-0537,Cotton,89.54,96.26,0.87,14.21,54.49
M-0855,Bamboo,81.24,29.58,0.75,7.21,32.02
M-0065,Bamboo,441.45,99.32,0.25,25.94,47.71
M-1188,Aluminum,421.27,61.7,0.57,6.62,58.53
M-0650,Steel,,8.57,0.13,27.12,24.99
M-0928,Paper,231.34,88.76,0.96,9.37,96.47
M-1233,Steel,256.18,31.32,0.66,31.51,68.83
M-0964,Bamboo,256.91,70.93,0.75,18.18,44.73
M-0520,Plastic,181.25,69.56,0.94,45.7,35.5
M-0432,Wood,203.84,84.37,0.67,25.22,40.96
M-0362,Aluminum,151.0,5.36,0.5,33.87,91.83
M-0496,Bamboo,331.8,79.23,0.93,34.9,
M-1304,Wood,475.56,53.02,0.08,1.42,69.32
M-0985,Cotton,108.82,42.15,0.43,19.56,8.76
M-1110,Glass,377.82,67.65,0.89,34.01,19.67
M-0715,Cotton,499.74,86.37,0.68,24.71,37.34
M-0317,Glass,157.45,27.08,0.13,35.14,3.43
M-1393,Cotton,369.61,,0.58,25.24,64.49
M-1252,,161.14,81.25,0.47,4.92,68.73
M-1444,Glass,302.2,27.27,0.93,40.36,20.73
M-0274,Cotton,486.98,,0.83,23.46,79.27
M-0583,Paper,152.8,16.26,0.44,40.99,94.22
M-1108,Wood,257.24,41.37,0.94,23.45,
M-0838,Steel,231.94,6.46,,11.09,73.07
M-0324,Plastic,58.04,,0.6,32.67,7.44
M-1088,Cotton,202.22,77.08,,10.31,69.19
M-0734,Cotton,52.59,82.63,0.57,3.18,49.63
M-0382,Wood,273.14,71.87,0.22,29.54,46.09
M-0822,Paper,125.61,62.95,0.67,15.95,54.23
M-0144,Cotton,228.73,18.55,,29.57,38.36
M-1301,Bamboo,256.24,81.36,0.2,17.37,12.73
M-0023,Plastic,107.37,51.33,0.34,15.6,63.61
M-0544,Plastic,360.26,29.66,0.91,45.87,49.28
M-1352,Cotton,289.86,59.23,0.58,30.22,98.83
M-0204,Aluminum,461.49,37.99,0.14,21.15,0.71
M-0207,Cotton,283.51,47.18,0.93,18.97,54.08
M-0852,Plastic,195.52,76.1,0.78,36.41,17.67
M-1000,Glass,111.7,64.98,0.8,5.22,66.24
M-1179,Bamboo,339.05,87.12,0.74,14.15,77.25
M-0218,Steel,183.7,8.75,0.04,43.06,36.22
M-0829,Bamboo,323.19,19.71,0.98,28.03,91.66
M-0151,Glass,143.55,37.36,0.43,12.96,
M-1423,,128.7,73.84,0.02,13.07,48.64
M-0938,Steel,269.18,38.61,0.01,15.56,31.17
M-0034,Plastic,205.56,9.34,0.83,44.67,31.59
M-1290,Aluminum,162.93,10.94,0.92,30.74,97.3
M-0307,Paper,395.23,54.64,0.82,6.51,80.27
M-0171,Cotton,440.81,,0.95,10.42,93.44
M-1464,Glass,483.26,64.16,,41.36,55.78
M-0742,Wood,217.96,,0.69,27.56,39.73
M-1266,Glass,234.99,94.11,0.21,12.41,77.22
M-0361,Paper,417.12,84.74,0.56,4.77,72.03
M-1175,Aluminum,407.39,84.53,0.05,22.37,94.04
M-0647,Steel,243.9,56.21,0.3,45.83,16.25
M-1477,Bamboo,185.57,10.87,0.58,17.53,35.95
M-1275,Bamboo,238.46,20.91,0.93,4.27,23.01
M-0219,Cotton,304.88,50.18,0.59,42.4,
M-0296,Paper,327.14,51.32,0.43,4.69,38.31
M-1020,Steel,227.51,70.42,0.35,32.27,71.9
M-1442,Plastic,458.24,54.85,0.7,11.67,39.5
M-0708,Cotton,354.43,86.86,0.14,19.07,40.47
M-1401,Glass,200.84,78.1,0.31,5.35,
M-0076,Plastic,463.94,95.73,,29.35,81.11
M-1036,Plastic,452.8,12.19,0.38,28.87,48.92
M-0556,Cotton,441.94,97.84,0.08,5.33,91.37
M-1394,Wood,191.46,49.3,0.77,44.84,37.39
M-0185,,127.26,96.31,0.31,30.21,94.76
M-0811,Glass,209.04,,0.72,20.77,73.55
M-0337,Steel,326.04,11.82,0.13,21.92,65.4
M-0234,Paper,83.81,19.14,0.23,36.62,83.5
M-0501,Bamboo,408.44,41.88,0.38,12.94,85.34
M-0604,Wood,376.37,92.23,0.96,43.33,54.45
M-0697,Bamboo,361.68,53.82,0.18,17.59,55.74
M-0320,Wood,179.26,93.28,0.85,48.75,18.29
M-0953,Steel,190.32,23.42,0.66,46.08,64.47
M-0603,Paper,247.38,23.2,,42.73,49.63
M-0410,Wood,63.16,67.45,0.57,31.79,58.1
M-0439,Bamboo,185.43,51.82,0.69,8.18,50.19
M-0843,Aluminum,107.78,42.91,0.5,17.6,72.49
M-1280,Paper,344.38,46.78,0.12,42.24,80.61
M-1326,Aluminum,441.76,40.29,0.52,35.63,25.0
M-1425,Cotton,152.23,62.79,0.45,7.45,63.81
M-0797,Steel,,45.16,0.01,6.18,77.95
M-1294,Aluminum,101.65,37.55,0.67,14.16,70.51
M-0925,Aluminum,405.51,11.7,0.41,26.08,51.76
M-0322,Steel,155.12,91.08,0.68,4.2,43.24
M-1383,Glass,301.89,48.54,0.1,33.62,97.09
M-1144,Bamboo,141.82,35.9,0.24,34.98,44.15
M-0467,Cotton,,66.41,0.04,10.23,56.57
M-1274,,73.52,14.59,0.72,10.16,41.05
M-0881,Steel,390.27,81.48,0.12,19.42,48.86
M-0081,Bamboo,151.07,29.47,0.38,13.68,93.15
M-1470,Aluminum,100.66,29.8,0.06,15.27,73.34
M-0473,Glass,244.55,79.14,0.9,39.98,13.16
M-0182,,425.72,83.54,0.18,5.34,9.35
M-0430,Paper,293.57,54.01,0.31,,50.14
M-1176,Bamboo,91.85,63.85,0.26,8.69,26.07
M-0796,Bamboo,267.6,71.93,0.81,38.18,4.67
M-0332,Aluminum,90.23,89.42,0.23,18.75,76.51
M-1408,Steel,206.57,53.51,0.76,16.71,38.5
M-1002,Bamboo,146.84,15.96,0.44,9.52,68.81
M-0503,Steel,102.79,29.69,0.34,6.24,26.53
M-0674,Wood,116.75,22.25,0.73,32.75,41.58
M-0711,Bamboo,227.24,23.55,0.4,20.62,47.95
M-0987,Paper,252.4,25.86,0.51,,91.46
M-1332,Wood,79.34,84.63,0.11,47.15,14.18
M-0154,Glass,312.37,34.57,0.25,13.13,64.34
M-1279,Steel,165.44,96.94,0.73,18.9,52.44
M-1327,Aluminum,157.46,23.54,0.61,46.08,60.95
M-0557,Cotton,371.34,76.94,0.48,17.77,83.3
M-0080,Paper,253.5,9.86,0.22,26.01,40.5
M-1225,Aluminum,,84.62,0.25,35.98,51.62
M-1150,Aluminum,402.71,59.79,0.91,42.99,88.49
M-1427,Bamboo,175.67,21.48,0.89,,23.6
M-0355,Cotton,497.71,,,2.95,26.17
M-1340,Wood,221.19,23.66,0.12,39.74,88.42
M-0600,Wood,68.05,39.06,0.63,25.8,94.06
M-0422,Plastic,491.53,42.54,0.99,15.02,88.68
M-0280,Plastic,423.01,,0.36,15.34,15.22
M-0423,Wood,334.32,72.75,0.44,32.38,37.83
M-1240,Glass,378.28,45.22,0.77,36.02,83.86
M-0459,Glass,173.13,6.67,0.09,33.17,38.32
M-0348,Paper,133.9,52.19,0.08,34.44,4.37
M-1399,Paper,272.4,61.71,0.62,34.6,32.09
M-1368,Wood,326.88,85.29,0.48,19.19,
M-0153,,131.65,43.91,0.92,47.95,3.78
M-0490,Steel,133.49,12.18,0.33,23.32,43.4
M-1388,Paper,379.17,8.81,0.08,29.78,96.38
M-0988,Paper,,96.19,0.35,32.89,20.87
M-1289,Paper,151.39,,0.73,23.54,34.65
M-0326,Wood,242.5,65.85,0.58,7.29,
M-0575,Bamboo,489.14,35.56,0.81,9.52,6.8
M-1487,Bamboo,,67.88,0.69,47.24,70.27
M-1370,Plastic,447.09,21.64,0.28,36.55,52.98
M-0417,Steel,424.46,17.98,0.24,,85.97
M-0122,Steel,171.84,85.33,0.18,18.0,8.29
M-0920,Cotton,417.85,43.92,0.7,7.97,34.23
M-1192,Glass,200.41,55.13,0.43,,64.1
M-0237,Wood,359.78,50.92,0.1,12.03,42.94
M-0611,Steel,460.56,87.34,0.06,23.31,70.45
M-1087,Aluminum,107.64,91.28,0.38,9.24,60.57
M-0420,Wood,179.17,34.98,0.1,37.63,24.18
M-1165,Steel,251.87,79.46,0.17,10.76,
M-1231,Bamboo,133.75,19.6,0.98,30.03,20.03
M-1410,Plastic,386.97,91.51,,,78.33
M-1373,,485.21,,0.06,24.77,11.79
M-0817,Aluminum,350.4,6.44,,24.84,91.99
M-1099,Wood,449.12,34.81,0.76,30.22,11.85
M-0701,Plastic,273.73,83.61,0.42,8.18,53.64
M-1060,Paper,94.28,49.1,0.86,40.63,
M-1495,Wood,435.06,5.65,0.72,24.38,33.3
M-0824,Bamboo,438.26,30.75,0.76,23.57,74.63
M-0695,Plastic,440.66,77.11,0.41,48.31,33.97
M-0457,Wood,357.48,16.42,0.59,44.89,25.28
M-0999,Cotton,392.13,87.7,0.39,36.29,30.26
M-0676,Steel,484.3,90.68,0.39,36.16,36.77
M-0206,Steel,222.41,18.22,0.87,11.66,35.98
M-0443,Aluminum,205.65,5.94,0.5,34.49,50.49
M-1124,Bamboo,428.32,67.89,0.24,45.7,89.21
M-0449,Bamboo,387.34,78.53,0.44,49.22,93.24
M-1132,Plastic,443.0,46.07,0.47,26.97,45.72
M-0138,Aluminum,157.18,62.1,0.64,48.38,35.82
M-0551,Aluminum,64.21,80.3,0.08,15.67,12.9
M-0063,Steel,106.1,51.89,0.23,46.42,1.28
M-0176,Wood,60.11,90.51,,29.25,3.96
M-1343,Bamboo,141.69,58.93,,19.82,58.59
M-0775,Plastic,268.64,10.38,0.81,5.45,35.48
M-0635,Plastic,,11.56,0.88,24.53,68.74
M-0976,Plastic,78.03,89.63,0.0,31.78,13.97
M-0455,Steel,269.89,,0.11,45.85,93.4
M-0297,Wood,154.83,12.38,0.33,6.51,72.95
M-0622,Plastic,131.44,94.91,0.39,12.6,63.33
M-1243,Bamboo,324.6,88.69,0.34,21.13,27.4
M-1392,Wood,293.36,91.3,0.13,39.91,70.35
M-0409,Paper,442.33,25.14,,,31.44
M-0913,Steel,463.73,33.6,0.46,13.2,77.79
M-0041,Glass,119.01,63.02,0.21,14.81,82.59
M-0646,Steel,423.0,88.21,0.84,13.05,6.16
M-0170,Wood,,41.86,0.81,16.72,41.19
M-1104,Aluminum,430.93,53.17,0.34,28.89,29.58
M-0737,Paper,228.28,9.91,0.03,28.78,42.09
M-0294,Plastic,331.65,63.29,0.62,41.58,15.06
M-0288,Steel,376.15,18.57,0.79,43.98,44.86
M-0061,Glass,493.18,,0.69,,77.4
M-0654,Steel,381.38,44.57,0.36,19.42,40.45
M-0960,Bamboo,342.59,63.0,0.65,3.51,84.08
M-0488,Paper,262.94,56.73,0.77,14.04,86.88
M-0242,Bamboo,362.61,24.31,0.21,37.84,24.07
M-0904,Bamboo,212.06,45.62,0.85,4.08,81.23
M-1430,Bamboo,280.69,,0.91,26.85,9.48
M-0678,Cotton,478.32,98.56,0.1,34.0,30.96
M-1227,Bamboo,166.68,96.29,0.12,26.34,92.17
M-0106,Plastic,135.81,16.45,0.08,20.88,32.7
M-0096,Wood,236.58,68.51,0.66,27.34,19.36
M-1103,Paper,437.62,91.24,0.78,2.84,79.03
M-1314,Steel,256.66,44.77,0.33,29.27,16.98
M-0662,Glass,100.36,5.14,0.0,46.4,44.67
M-0508,Glass,271.22,89.56,0.45,,4.39
M-1303,Bamboo,124.6,60.17,0.19,29.7,96.03
M-0713,Aluminum,,36.88,1.0,20.92,91.38
M-1037,Cotton,336.5,41.84,0.88,43.52,34.19
M-1220,Glass,61.79,21.12,0.43,38.55,89.51
M-0618,Cotton,459.06,77.08,0.44,12.42,57.91
M-0051,Bamboo,368.26,81.25,0.3,39.39,5.71
M-1079,Wood,409.42,18.33,0.31,23.87,56.07
M-0133,Aluminum,58.87,92.08,0.96,13.78,32.17
M-0441,Aluminum,80.31,55.44,0.75,12.41,55.99
M-1271,Plastic,483.53,26.79,0.67,12.06,49.79
M-1055,Aluminum,207.37,25.91,0.82,19.74,11.53
M-0787,Bamboo,131.52,46.04,0.43,35.97,78.9
M-0240,Cotton,418.6,40.66,0.87,45.84,3.11
M-0306,Steel,207.82,95.74,,35.81,11.97
M-0261,Aluminum,149.54,10.93,0.03,7.53,25.05
M-0599,Paper,494.44,58.59,0.83,16.68,70.66
M-0345,Glass,153.8,18.57,0.33,18.64,35.67
M-0042,Bamboo,313.8,31.66,0.07,10.03,30.35
M-1426,Wood,426.67,31.7,0.82,43.08,28.82
M-0973,Aluminum,186.47,12.94,0.2,10.33,0.53
M-0380,Aluminum,,41.83,0.0,5.48,94.51
M-0760,Bamboo,394.2,9.92,0.94,13.41,93.04
M-0249,,477.61,98.17,0.53,28.9,34.56
M-1190,Cotton,84.68,93.27,0.81,26.95,47.54
M-0866,Aluminum,351.27,,0.32,35.42,44.84
M-0980,Wood,326.85,26.12,,20.12,54.24
M-0342,Paper,342.34,81.38,0.34,26.74,92.32
M-1459,Wood,181.5,31.75,0.87,33.41,30.54
M-0595,Paper,384.22,59.83,,43.8,
M-0530,Plastic,274.5,24.87,0.39,12.52,60.6
M-1063,Bamboo,169.27,72.33,0.01,33.87,10.34
M-0836,,111.4,69.61,0.97,23.43,67.51
M-1065,Wood,86.98,25.68,0.77,14.6,22.99
M-0243,Paper,172.47,77.37,0.75,28.85,23.99
M-0266,Plastic,466.36,93.01,0.26,39.02,86.56
M-1197,Plastic,248.09,81.42,0.62,48.47,62.49
M-0169,Bamboo,393.62,7.94,0.67,25.06,61.53
M-0485,Steel,343.25,94.56,0.02,34.18,33.86
M-0740,Paper,251.91,86.95,0.56,41.31,80.75
M-1491,Aluminum,407.56,90.91,0.98,9.38,71.02
M-1114,Bamboo,295.26,30.09,0.33,24.02,62.73
M-0379,Plastic,217.71,51.91,0.3,27.78,32.45
M-1460,Glass,459.85,96.52,0.18,45.26,15.77
M-1466,Wood,187.14,34.63,0.61,21.34,50.65
M-0873,,303.03,10.94,0.15,1.19,15.72
M-0272,Cotton,183.81,17.77,0.24,29.29,81.68
M-0044,Cotton,325.15,54.07,,2.07,31.69
M-0438,Cotton,80.53,,0.58,45.68,37.99
M-1038,Bamboo,326.27,81.34,0.91,22.17,92.42
M-0780,Glass,292.62,65.07,0.18,5.96,25.94
M-0071,Plastic,411.28,91.22,0.35,14.84,48.22
M-0388,,,77.3,0.32,42.18,62.63
M-1151,Steel,299.4,11.39,0.01,34.53,57.7
M-1315,,73.38,,0.74,8.59,96.57
M-0597,Steel,205.67,79.82,0.8,11.36,45.5
M-1333,Bamboo,258.77,39.33,0.84,37.24,21.38
M-0013,Glass,161.82,89.79,0.53,28.33,16.41
M-0250,Glass,250.7,43.72,0.16,31.95,62.15
M-0193,Aluminum,,77.38,0.08,7.56,67.3
M-1299,,294.59,33.73,0.33,8.08,87.02
M-0648,Aluminum,161.92,31.83,0.08,17.43,89.5
M-1336,Wood,274.02,36.18,0.5,21.1,66.07
M-0431,Aluminum,483.35,30.42,0.4,12.53,23.36
M-0463,Wood,123.63,38.07,0.54,23.19,26.72
M-1433,Wood,64.94,78.41,0.13,43.36,6.9
M-0227,Steel,317.79,17.41,0.37,17.14,74.87
M-1276,Cotton,167.07,18.99,0.53,49.93,40.61
M-0159,Aluminum,166.74,98.86,0.57,16.73,85.15
M-0175,Cotton,241.35,32.48,0.99,22.79,61.56
M-0907,Plastic,299.21,,0.84,37.42,71.63
M-1358,Glass,457.76,32.14,,27.31,49.48
M-0512,,408.9,5.74,,46.87,19.04
M-0118,Wood,131.87,58.07,0.68,19.18,17.97
M-1117,Bamboo,69.43,35.83,0.36,18.48,19.37
M-1119,Steel,109.28,23.14,0.6,25.68,35.78
M-0833,Glass,317.51,24.25,0.78,19.49,0.13
M-0626,Plastic,441.84,50.25,0.48,13.66,7.87
M-0912,Steel,282.06,7.08,0.6,15.76,62.15
M-1437,Wood,442.04,93.27,0.68,19.26,24.1
M-0479,Aluminum,492.79,28.43,0.47,9.18,94.74
M-1204,Plastic,381.05,40.45,0.67,16.69,5.71
M-0173,Glass,452.55,76.84,0.78,48.77,21.03
M-0686,Wood,63.49,,,36.9,89.67
M-1351,Paper,461.79,18.42,0.45,27.14,81.62
M-0532,Cotton,366.11,85.15,0.73,20.85,5.36
M-0102,Plastic,387.48,91.76,,49.78,93.15
M-0075,,291.83,83.26,0.21,3.69,21.53
M-0223,,379.66,91.4,0.28,3.98,6.07
M-0786,Aluminum,104.85,31.25,0.59,12.55,70.13
M-1336,Wood,274.02,36.18,0.5,21.1,66.07
M-0295,Plastic,448.69,13.42,0.41,31.68,93.26
M-0762,Plastic,373.16,32.33,0.47,,99.55
M-0270,Glass,,73.66,0.23,32.55,74.77
M-0584,Plastic,498.35,32.44,0.64,22.17,
M-0313,,395.72,9.77,0.77,13.91,67.71
M-0853,Steel,152.0,91.88,0.91,16.64,58.02
M-1402,Glass,128.19,42.8,0.2,43.38,82.38
M-1481,Glass,384.44,19.29,0.66,23.52,20.3
M-1064,Steel,59.43,5.79,0.51,14.2,43.15
M-1349,Cotton,,40.36,0.42,46.12,44.08
M-1155,Cotton,385.58,76.08,0.93,3.93,
M-1171,Cotton,363.03,77.61,0.95,49.43,64.78
M-1159,Paper,197.12,27.94,0.74,26.09,39.48
M-1343,Bamboo,141.69,58.93,,19.82,58.59
M-1235,Plastic,110.07,60.4,0.55,10.55,43.87
M-0341,Glass,474.23,83.14,0.73,16.27,9.09
M-0279,,193.6,5.84,0.74,22.32,38.35
M-1057,Cotton,347.62,40.39,0.08,,71.95
M-0887,Aluminum,229.69,75.57,0.33,,32.66
M-0986,Plastic,448.97,27.25,0.12,42.31,63.38
M-0014,Glass,384.78,47.12,0.29,3.68,
M-1073,Plastic,326.76,77.82,0.38,27.74,41.19
M-1251,Bamboo,167.77,32.22,,10.86,72.03
M-1405,Plastic,95.29,7.89,0.68,12.73,79.51
M-0026,Wood,117.46,62.06,0.93,12.15,
M-0522,Bamboo,437.06,31.1,0.95,36.33,96.39
M-1312,Plastic,280.63,83.13,0.92,,25.71
M-1446,Aluminum,251.17,7.86,0.8,37.3,31.67
M-1142,Aluminum,230.67,90.3,0.06,21.27,50.36
M-1447,Cotton,,96.34,0.74,33.43,67.73
M-1086,Aluminum,345.42,76.25,0.09,37.49,
M-0218,Steel,183.7,8.75,0.04,43.06,36.22
M-0896,Paper,389.87,40.0,0.74,9.24,68.91
M-1269,Steel,59.82,11.75,0.56,49.06,
M-0187,Plastic,,41.62,0.42,,31.73
M-1353,Bamboo,121.08,22.6,0.57,18.94,38.89
M-0374,Cotton,414.28,91.44,0.9,38.24,87.95
M-0433,Steel,,6.4,0.68,,78.01
M-0451,Wood,391.22,54.52,0.85,15.45,36.9
M-1499,Glass,319.54,43.23,0.46,49.65,91.32
M-1077,Wood,68.88,81.29,0.69,47.59,94.41
M-0755,Plastic,221.09,59.32,0.5,8.7,55.68
M-1010,Cotton,296.58,90.09,0.99,11.56,19.64
M-1382,Paper,55.67,19.44,0.51,7.78,60.86
M-0088,Aluminum,213.08,40.06,0.12,28.97,61.91
M-1297,Glass,80.45,12.86,,28.4,70.75
M-1189,Glass,274.22,93.18,0.76,7.18,35.93
M-0199,Steel,443.25,10.48,0.16,27.7,88.25
M-1230,Glass,428.87,43.18,0.04,7.22,70.92
M-0519,Cotton,320.01,52.56,0.81,14.13,48.49
M-0917,,,93.08,0.11,20.96,64.28
M-1485,Bamboo,350.51,28.43,0.5,8.89,9.69
M-0383,Paper,86.47,5.41,0.66,10.14,67.13
M-1457,Wood,176.02,,0.8,46.57,12.7
M-0851,Bamboo,136.34,13.8,0.2,18.27,66.8
M-0936,Aluminum,437.91,55.88,0.39,40.33,76.81
M-0844,Bamboo,96.85,84.78,0.31,,89.48
M-1418,Bamboo,106.82,20.26,,37.48,68.55
M-0869,Bamboo,301.0,,,13.99,97.12
M-0395,Glass,170.16,9.58,0.92,30.22,93.36
M-0231,Wood,200.41,31.2,0.83,40.77,19.41
M-1148,Plastic,134.61,85.26,,17.15,49.05
M-0364,Plastic,291.64,75.39,0.09,12.99,19.13
M-0766,Glass,53.4,36.73,0.41,37.92,82.06
M-0028,Plastic,375.01,53.1,0.57,17.3,45.34
M-0974,Glass,95.47,6.82,0.42,18.97,74.82
M-1436,Plastic,472.24,58.75,0.94,1.79,14.93
M-0771,Steel,77.12,32.15,0.86,21.48,36.94
M-0229,Aluminum,273.36,,0.05,38.55,77.12
M-0572,Glass,121.8,26.72,0.94,22.85,53.21
M-1186,Paper,412.25,41.98,0.35,28.55,12.19
M-1500,Bamboo,101.72,89.04,0.48,20.99,79.78
M-0542,Plastic,109.72,98.21,0.08,33.48,7.8
M-0116,Paper,301.84,9.16,0.35,49.52,30.34
M-0330,Cotton,477.48,66.54,0.23,22.52,73.83
M-0152,Glass,61.94,11.81,0.38,48.37,19.96
M-1234,Aluminum,267.34,92.52,0.84,1.49,
M-0354,Cotton,467.49,35.17,0.17,33.12,61.34
M-0529,Plastic,114.12,,0.13,41.33,75.84
M-0299,Steel,441.54,43.68,0.85,13.62,20.52
M-0911,Glass,320.27,47.17,0.51,8.58,3.84
M-1389,Bamboo,134.34,32.69,0.68,5.18,53.9
M-1098,Wood,138.86,24.21,,49.02,49.4
M-0271,Wood,363.84,70.79,0.41,41.88,55.07
M-1350,Steel,228.19,67.86,0.04,,
M-0130,Paper,149.89,80.85,0.23,12.68,26.56
M-1245,Bamboo,388.12,67.61,0.07,48.34,11.68
M-1152,Steel,52.35,14.02,0.48,44.24,22.11
M-1134,Bamboo,392.5,29.66,0.18,13.09,88.78
M-1249,Plastic,75.67,23.68,0.82,11.87,90.84
M-0531,Aluminum,328.17,9.75,,32.96,57.03
M-0652,Cotton,125.43,77.73,0.52,27.6,69.06
M-1217,,133.01,48.24,0.97,27.37,27.49
M-1069,Steel,331.1,81.43,0.89,32.74,90.59
M-0188,Bamboo,461.43,37.34,0.16,42.24,76.63
M-1337,Glass,97.46,48.13,0.77,24.06,95.06
M-0995,Paper,237.27,71.7,0.23,38.09,46.34
M-0156,Plastic,451.7,62.55,0.48,44.88,
M-0120,Steel,475.75,74.27,0.07,9.35,
M-1163,Plastic,498.35,7.13,0.53,,53.75
M-1441,Aluminum,167.13,83.55,0.33,39.72,87.34
M-0602,Cotton,310.4,27.84,0.6,48.03,4.22
M-1034,,336.74,88.84,0.29,35.97,1.3
M-0596,Paper,241.47,38.93,0.35,12.59,26.78
M-0679,Plastic,337.6,76.65,0.18,31.11,66.37
M-0372,Cotton,480.04,89.73,0.53,45.64,12.25
M-1439,Cotton,404.8,11.29,0.94,27.63,52.02
M-0767,Steel,341.36,74.61,0.52,7.49,28.52
M-0086,Glass,238.52,41.46,0.3,47.29,15.65
M-1027,Plastic,359.66,85.12,0.0,13.53,34.1
M-1367,,248.15,,0.46,10.78,73.11
M-1089,,467.64,61.73,0.04,23.57,38.31
M-0682,Steel,282.02,67.8,0.55,17.21,46.01
