Material_ID,Material_Type,Product_Category,Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score_kg,Recyclability_Percentage,Source,Certification,Price_INR,Availability_Status
MAT00529,Wool,Bags & Luggage,177.27,72.72,69.3,0.92,17.6,Supplier C,None,1482.38,Low Stock
MAT00530,Cardboard,Food Packaging,326.37,48.67,70.2,13.43,53.7,Supplier D,None,1501.47,In Stock
MAT00531,Corn Plastic,Flooring,156.68,72.77,45.2,8.27,20.8,Supplier C,ISO 14001,2896.7,In Stock
MAT00532,Mycelium Leather,Electronics,176.18,38.15,62.7,2.91,60.6,Supplier A,GOTS,912.17,Pre-Order
MAT00533,Natural Rubber,Food Packaging,143.03,9.59,90.2,5.89,82.9,Supplier E,GOTS,1371.99,In Stock
MAT00534,Organic Cotton,Home Decor,394.62,78.0,93.1,6.93,2.5,Supplier E,FSC,2089.11,In Stock
MAT00535,Natural Rubber,Kitchen Utensils,368.9,52.84,82.0,2.58,87.2,Supplier E,None,3441.18,In Stock
MAT00536,Cork,Food Packaging,235.09,71.65,61.8,0.56,93.2,Supplier E,ISO 14001,2903.34,Low Stock
MAT00537,Recycled PET,Food Packaging,60.52,76.85,79.6,0.83,75.8,Supplier B,GOTS,2710.78,In Stock
MAT00538,Cork,Footwear,145.56,32.6,55.3,2.21,14.9,Supplier A,EcoCert,1255.79,Pre-Order
MAT00539,Mushroom Composite,Textiles,111.22,35.68,45.5,2.55,70.4,Supplier B,FSC,1294.8,In Stock
MAT00540,Recycled Glass,Coatings,447.2,54.52,24.1,0.92,90.3,Supplier D,ISO 14001,366.86,In Stock
MAT00541,Jute,Office Supplies,97.7,60.02,67.4,12.62,69.9,Supplier C,GOTS,2621.14,In Stock
MAT00542,Flax Fiber,Insulation,48.49,92.36,81.2,8.73,9.3,Supplier D,ISO 14001,3362.33,Low Stock
MAT00543,Recycled Glass,Toys,240.57,94.8,31.5,13.49,25.8,Supplier B,None,1614.35,Pre-Order
MAT00544,Natural Rubber,Bags & Luggage,232.11,4.0,58.0,5.6,46.1,Supplier C,EcoCert,846.6,Pre-Order
MAT00545,Recycled Metal,Flooring,60.44,81.94,83.7,5.23,64.9,Supplier E,Cradle to Cradle,3323.32,Low Stock
MAT00546,Recycled Aluminum,Sports Equipment,126.9,25.13,32.7,7.49,6.6,Supplier E,Cradle to Cradle,996.0,Low Stock
MAT00547,Recycled Aluminum,Bags & Luggage,276.82,24.38,73.0,1.63,93.1,Supplier D,ISO 14001,2453.48,Pre-Order
MAT00548,Bioplastic,Toys,169.44,10.67,55.6,4.97,40.6,Supplier E,Cradle to Cradle,2549.76,Low Stock
MAT00549,Cardboard,Food Packaging,54.36,81.89,91.0,13.6,63.6,Supplier B,None,166.83,In Stock
MAT00550,Recycled PET,Insulation,152.84,61.94,55.8,3.48,87.7,Supplier C,Cradle to Cradle,1360.37,Pre-Order
MAT00551,Certified Wood,Cosmetics,295.54,61.54,60.8,12.79,85.3,Supplier E,ISO 14001,415.0,In Stock
MAT00552,Flax Fiber,Insulation,412.17,36.57,88.9,13.05,23.5,Supplier D,None,2963.93,Low Stock
MAT00553,Flax Fiber,Office Supplies,208.96,44.08,36.9,3.01,13.9,Supplier C,Cradle to Cradle,2378.78,In Stock
MAT00554,Recycled Glass,Construction,75.8,8.1,21.3,10.96,48.7,Supplier B,ISO 14001,1905.68,In Stock
MAT00555,Cellulose,Sports Equipment,431.47,89.46,75.6,13.99,62.3,Supplier D,EcoCert,1976.23,Low Stock
MAT00556,Linen,Home Decor,120.61,43.05,20.6,7.72,73.1,Supplier C,Cradle to Cradle,3002.94,Pre-Order
MAT00557,Recycled Aluminum,Home Decor,26.4,4.75,58.7,5.84,58.0,Supplier A,FSC,3997.28,Pre-Order
MAT00558,Recycled Copper,Flooring,491.95,98.38,82.3,7.24,7.8,Supplier A,FSC,3711.76,Low Stock
MAT00559,Cellulose,Cosmetics,345.2,54.38,66.4,9.39,90.4,Supplier A,Cradle to Cradle,2297.44,Low Stock
MAT00560,Mushroom Composite,Kitchen Utensils,291.24,33.82,48.2,14.68,29.5,Supplier E,None,833.32,Low Stock
MAT00561,Recycled Copper,Adhesives,137.62,63.3,66.3,8.81,65.6,Supplier E,ISO 14001,1328.0,Low Stock
MAT00562,Cardboard,Cosmetics,72.14,8.61,82.7,4.15,61.6,Supplier C,ISO 14001,1262.43,Pre-Order
MAT00563,Organic Cotton,Coatings,95.56,59.59,32.1,6.98,80.8,Supplier B,Cradle to Cradle,1206.82,In Stock
MAT00564,Seaweed Polymer,Flooring,432.39,34.94,26.8,2.6,93.4,Supplier D,Cradle to Cradle,780.2,Low Stock
MAT00565,Hemp Fiber,Toys,365.74,17.56,66.2,12.71,5.4,Supplier A,ISO 14001,1219.27,In Stock
MAT00566,Recycled PET,Office Supplies,243.35,48.15,95.9,13.88,23.4,Supplier D,Cradle to Cradle,2889.23,Low Stock
MAT00567,Recycled Metal,Flooring,436.44,2.17,94.2,7.01,67.8,Supplier A,ISO 14001,3997.28,Pre-Order
MAT00568,Cellulose,Home Decor,478.53,43.75,93.4,12.95,33.5,Supplier A,GOTS,1230.06,Pre-Order
MAT00569,Recycled Aluminum,Office Supplies,235.94,67.85,39.3,10.24,77.0,Supplier B,GOTS,2237.68,Pre-Order
MAT00570,Biodegradable Plastic,Electronics,417.53,2.18,27.8,2.01,44.6,Supplier C,GOTS,1039.99,In Stock
MAT00571,Recycled Paper,Electronics,313.5,6.63,67.5,13.46,21.7,Supplier A,None,2553.91,In Stock
MAT00572,Sustainable Bamboo,Coatings,73.65,65.98,92.0,8.71,96.7,Supplier B,GOTS,3735.83,Low Stock
MAT00573,Recycled PET,Cosmetics,323.0,92.35,42.1,6.69,90.3,Supplier C,GOTS,3232.85,In Stock
MAT00574,Cork Composite,Cosmetics,145.87,7.18,51.1,14.94,25.8,Supplier B,Cradle to Cradle,3403.83,In Stock
MAT00575,Cardboard,Furniture,309.05,18.67,59.4,2.59,76.9,Supplier A,Cradle to Cradle,1035.84,Pre-Order
MAT00576,Mycelium Leather,Textiles,27.08,7.97,78.2,11.77,1.9,Supplier A,ISO 14001,2148.87,Pre-Order
MAT00577,Linen,Household Items,84.29,33.65,51.3,0.55,70.8,Supplier D,Cradle to Cradle,3237.83,Low Stock
MAT00578,Recycled Copper,Cosmetics,274.66,1.33,96.3,12.36,48.2,Supplier C,GOTS,2426.09,Pre-Order
MAT00579,Recycled Glass,Office Supplies,37.05,99.7,71.8,5.8,85.3,Supplier D,GOTS,1520.56,Pre-Order
MAT00580,Cork,Automotive,281.69,96.78,72.9,4.83,39.0,Supplier C,Cradle to Cradle,590.96,In Stock
MAT00581,Cellulose,Toys,370.31,14.85,35.4,10.94,59.3,Supplier A,EcoCert,2114.84,Pre-Order
MAT00582,Recycled Glass,Kitchen Utensils,271.63,83.59,55.9,14.94,3.7,Supplier A,Cradle to Cradle,389.27,In Stock
MAT00583,Cork,Flooring,234.6,68.13,89.9,2.66,57.9,Supplier A,None,3850.37,In Stock
MAT00584,Cardboard,Electronics,240.9,91.88,23.7,10.67,13.1,Supplier A,GOTS,852.41,In Stock
MAT00585,Recycled PET,Coatings,93.64,59.51,85.4,2.04,49.7,Supplier B,ISO 14001,3349.88,In Stock
MAT00586,Jute,Bags & Luggage,407.65,98.24,74.3,5.2,97.6,Supplier B,GOTS,2460.95,In Stock
MAT00587,Cork Composite,Food Packaging,300.61,34.21,29.7,2.55,41.5,Supplier E,FSC,2939.86,Low Stock
MAT00588,Hemp Fiber,Adhesives,29.94,10.9,87.8,9.38,77.8,Supplier D,ISO 14001,228.25,In Stock
MAT00589,Biodegradable Plastic,Automotive,463.81,70.97,67.5,4.61,69.4,Supplier D,None,3322.49,In Stock
MAT00590,Cork,Construction,323.51,52.79,53.0,14.1,61.1,Supplier B,None,316.23,Low Stock
MAT00591,Bioplastic,Cosmetics,317.32,78.48,47.8,0.57,23.6,Supplier E,ISO 14001,634.12,Pre-Order
MAT00592,Certified Wood,Insulation,258.69,46.96,70.1,3.52,5.3,Supplier B,None,615.03,Low Stock
MAT00593,Cardboard,Automotive,88.28,92.34,24.3,5.78,21.0,Supplier E,Cradle to Cradle,1167.81,In Stock
MAT00594,Organic Cotton,Food Packaging,463.18,18.41,82.8,7.53,11.6,Supplier D,EcoCert,3731.68,Pre-Order
MAT00595,Natural Rubber,Sports Equipment,107.39,68.01,46.1,11.8,32.6,Supplier D,FSC,556.93,Low Stock
MAT00596,Hemp Fiber,Cosmetics,240.79,48.96,91.2,2.6,92.8,Supplier D,GOTS,1978.72,In Stock
MAT00597,Recycled PET,Furniture,319.69,97.58,36.2,2.34,69.2,Supplier B,ISO 14001,403.38,Low Stock
MAT00598,Recycled PET,Sports Equipment,93.89,35.01,90.9,9.25,79.0,Supplier E,FSC,2707.46,Pre-Order
MAT00599,Algae-based Material,Accessories,52.37,85.84,59.1,14.94,59.2,Supplier C,ISO 14001,3500.94,Pre-Order
MAT00600,Jute,Accessories,131.44,43.99,37.8,13.95,94.6,Supplier A,Cradle to Cradle,3806.38,In Stock
MAT00601,Recycled Paper,Kitchen Utensils,369.4,50.92,54.1,6.22,81.0,Supplier A,Cradle to Cradle,2941.52,Low Stock
MAT00602,Hemp Fiber,Cosmetics,283.66,2.23,78.5,14.27,13.3,Supplier A,ISO 14001,1344.6,Low Stock
MAT00603,Wool,Footwear,89.28,46.47,65.6,8.96,97.6,Supplier B,None,2013.58,Low Stock
MAT00604,Bio-based Polymer,Home Decor,317.14,70.69,20.1,9.6,38.5,Supplier E,ISO 14001,2918.28,Low Stock
MAT00605,Jute,Household Items,352.05,61.64,66.0,3.5,68.5,Supplier C,None,2637.74,In Stock
MAT00606,Mushroom Composite,Home Decor,445.11,11.99,49.2,9.48,36.6,Supplier E,None,864.03,In Stock
MAT00607,Algae-based Material,Furniture,77.82,34.16,63.2,9.91,73.7,Supplier B,None,3163.13,In Stock
MAT00608,Natural Rubber,Home Decor,449.99,50.85,53.8,1.29,37.3,Supplier E,EcoCert,1968.76,In Stock
MAT00609,Cardboard,Insulation,342.37,53.75,43.4,9.5,80.0,Supplier A,FSC,3932.54,Low Stock
MAT00610,Sustainable Bamboo,Cosmetics,201.43,18.7,96.7,1.62,16.5,Supplier B,Cradle to Cradle,612.54,In Stock
MAT00611,Cork,Flooring,476.53,3.25,53.3,10.39,93.2,Supplier D,Cradle to Cradle,2054.25,Pre-Order
MAT00612,Cellulose,Electronics,152.84,7.23,89.7,3.87,94.7,Supplier D,EcoCert,2734.02,Low Stock
MAT00613,Cellulose,Bags & Luggage,248.21,66.92,62.4,8.45,45.8,Supplier C,FSC,2426.09,Low Stock
MAT00614,Hemp Fiber,Kitchen Utensils,192.23,29.53,87.6,2.65,28.4,Supplier E,FSC,3975.7,Pre-Order
MAT00615,Algae-based Material,Footwear,99.32,18.36,76.6,13.62,79.4,Supplier A,ISO 14001,808.42,Low Stock
MAT00616,Recycled Aluminum,Construction,226.04,37.6,36.4,10.75,66.6,Supplier B,GOTS,4062.85,Low Stock
MAT00617,Algae-based Material,Automotive,271.49,13.03,22.0,14.0,76.9,Supplier C,FSC,3941.67,In Stock
MAT00618,Recycled Copper,Insulation,488.04,33.8,76.4,7.37,29.0,Supplier E,None,3926.73,In Stock
MAT00619,Seaweed Polymer,Adhesives,366.99,92.31,47.1,2.13,47.9,Supplier E,ISO 14001,325.36,Low Stock
MAT00620,Biodegradable Plastic,Office Supplies,312.59,22.82,48.6,5.23,60.8,Supplier E,FSC,943.71,Low Stock
MAT00621,Cork,Electronics,50.96,85.1,74.2,14.39,97.6,Supplier D,GOTS,1737.19,Pre-Order
MAT00622,Bioplastic,Flooring,472.27,90.94,48.9,2.65,85.4,Supplier C,ISO 14001,1638.42,Low Stock
MAT00623,Certified Wood,Home Decor,160.96,45.11,64.9,3.63,88.8,Supplier D,Cradle to Cradle,3119.97,Low Stock
MAT00624,Bio-based Polymer,Sports Equipment,367.02,42.01,86.8,9.17,14.4,Supplier E,GOTS,1374.48,In Stock
MAT00625,Recycled Aluminum,Office Supplies,53.34,41.54,93.2,6.51,55.6,Supplier B,FSC,2995.47,In Stock
MAT00626,Corn Plastic,Office Supplies,151.84,49.57,85.8,4.88,58.5,Supplier D,FSC,2134.76,In Stock
MAT00627,Seaweed Polymer,Electronics,85.47,30.72,71.2,9.73,12.4,Supplier C,Cradle to Cradle,2818.68,In Stock
MAT00628,Cardboard,Accessories,23.94,76.71,59.4,14.57,59.9,Supplier D,EcoCert,1606.88,Low Stock
MAT00629,Mycelium Leather,Kitchen Utensils,487.39,82.01,49.9,11.13,1.8,Supplier E,ISO 14001,1200.18,In Stock
MAT00630,Natural Rubber,Toys,440.38,14.41,33.1,4.45,42.0,Supplier C,ISO 14001,3799.74,Low Stock
MAT00631,Recycled Glass,Flooring,323.08,8.61,35.5,9.61,76.5,Supplier B,EcoCert,2551.42,Low Stock
MAT00632,Natural Rubber,Footwear,143.01,70.1,49.0,8.25,35.2,Supplier B,EcoCert,738.7,Low Stock
MAT00633,Certified Wood,Kitchen Utensils,211.88,92.17,33.0,3.66,50.3,Supplier E,EcoCert,3479.36,Pre-Order
MAT00634,Corn Plastic,Flooring,424.57,71.54,76.2,12.14,41.7,Supplier A,FSC,3815.51,In Stock
MAT00635,Cardboard,Home Decor,162.67,36.89,85.4,13.4,59.8,Supplier C,FSC,3207.95,Pre-Order
MAT00636,Recycled Glass,Electronics,374.79,12.74,30.3,10.57,68.8,Supplier B,FSC,1391.08,In Stock
MAT00637,Jute,Textiles,48.09,77.69,80.6,1.12,10.8,Supplier E,EcoCert,3325.81,In Stock
MAT00638,Cardboard,Textiles,455.18,5.28,44.1,0.65,9.7,Supplier E,FSC,659.02,Pre-Order
MAT00639,Cork,Automotive,338.59,3.9,31.6,11.32,27.7,Supplier C,FSC,2475.89,Pre-Order
MAT00640,Cork Composite,Coatings,128.49,57.45,27.9,8.88,1.4,Supplier B,GOTS,1030.86,In Stock
MAT00641,Cork Composite,Insulation,12.12,72.81,93.9,13.85,85.1,Supplier E,FSC,2057.57,Low Stock
MAT00642,Wool,Textiles,98.62,36.13,50.4,3.61,22.8,Supplier C,ISO 14001,615.86,Low Stock
MAT00643,Organic Cotton,Flooring,76.6,76.47,76.4,8.58,4.1,Supplier A,Cradle to Cradle,1473.25,Low Stock
MAT00644,Recycled PET,Coatings,370.73,69.02,87.3,3.78,40.7,Supplier D,FSC,4090.24,In Stock
MAT00645,Corn Plastic,Kitchen Utensils,470.15,37.38,21.0,10.28,67.2,Supplier E,None,1745.49,Pre-Order
MAT00646,Sustainable Bamboo,Textiles,80.25,40.66,67.2,1.97,92.5,Supplier A,GOTS,4062.02,In Stock
MAT00647,Natural Rubber,Furniture,301.53,99.08,29.8,12.65,72.5,Supplier E,EcoCert,1275.71,Low Stock
MAT00648,Cork Composite,Office Supplies,184.49,67.0,96.0,14.82,51.1,Supplier D,ISO 14001,752.81,In Stock
MAT00649,Mycelium Leather,Kitchen Utensils,253.66,63.21,30.8,1.94,5.3,Supplier A,FSC,437.41,Low Stock
MAT00650,Bioplastic,Bags & Luggage,84.84,62.57,27.7,1.61,75.2,Supplier D,FSC,3223.72,Low Stock
MAT00651,Wool,Kitchen Utensils,250.22,26.9,47.5,12.97,54.7,Supplier A,Cradle to Cradle,3960.76,In Stock
MAT00652,Linen,Toys,164.13,38.26,56.8,0.98,55.7,Supplier C,None,3593.9,In Stock
MAT00653,Cardboard,Sports Equipment,75.9,71.86,59.0,2.09,67.5,Supplier E,EcoCert,2795.44,Low Stock
MAT00654,Cardboard,Insulation,428.63,51.16,51.3,7.67,97.1,Supplier C,GOTS,2623.63,Low Stock
MAT00655,Recycled Paper,Electronics,299.33,13.69,49.3,12.24,58.4,Supplier C,Cradle to Cradle,3214.59,In Stock
MAT00656,Jute,Home Decor,496.05,41.78,24.5,4.04,23.5,Supplier A,None,1409.34,In Stock
MAT00657,Recycled Glass,Textiles,175.42,2.95,46.1,7.18,86.3,Supplier D,GOTS,2429.41,In Stock
MAT00658,Flax Fiber,Kitchen Utensils,298.11,98.59,50.2,6.16,57.3,Supplier A,None,3386.4,Pre-Order
MAT00659,Cork,Bags & Luggage,253.4,81.33,73.4,2.92,30.0,Supplier B,Cradle to Cradle,4027.99,Pre-Order
MAT00660,Seaweed Polymer,Cosmetics,421.79,54.05,43.0,1.19,99.6,Supplier B,EcoCert,1767.9,Pre-Order
MAT00661,Sustainable Bamboo,Adhesives,56.42,34.35,25.4,12.12,47.5,Supplier A,None,1001.81,Low Stock
MAT00662,Mushroom Composite,Footwear,222.13,54.45,36.0,6.33,62.5,Supplier E,FSC,1971.25,In Stock
MAT00663,Cellulose,Flooring,432.73,58.11,37.0,14.45,74.2,Supplier E,EcoCert,2027.69,Low Stock
MAT00664,Recycled Aluminum,Food Packaging,265.91,37.06,31.8,2.68,68.5,Supplier D,Cradle to Cradle,1362.03,Low Stock
MAT00665,Corn Plastic,Cosmetics,320.62,84.75,41.4,4.66,16.1,Supplier B,Cradle to Cradle,2902.51,In Stock
MAT00666,Organic Cotton,Construction,104.04,25.31,86.2,7.23,56.0,Supplier A,FSC,1903.19,In Stock
MAT00667,Mycelium Leather,Construction,24.28,79.18,42.2,8.49,64.4,Supplier D,ISO 14001,334.49,In Stock
MAT00668,Sustainable Bamboo,Bags & Luggage,304.78,86.85,92.0,6.4,36.3,Supplier A,Cradle to Cradle,2785.48,Pre-Order
MAT00669,Corn Plastic,Construction,125.66,57.53,60.0,2.25,66.4,Supplier E,GOTS,2478.38,Low Stock
MAT00670,Sustainable Bamboo,Accessories,303.91,77.55,45.1,12.57,73.7,Supplier B,Cradle to Cradle,3376.44,In Stock
MAT00671,Recycled Metal,Textiles,95.83,97.02,55.2,4.19,58.9,Supplier C,None,2119.82,In Stock
MAT00672,Natural Rubber,Insulation,217.65,68.59,97.1,13.25,93.7,Supplier C,GOTS,1611.86,In Stock
MAT00673,Cellulose,Coatings,27.06,74.21,83.9,1.29,91.7,Supplier C,EcoCert,2841.92,Low Stock
MAT00674,Recycled Glass,Home Decor,452.55,68.84,62.8,3.93,44.2,Supplier D,GOTS,197.54,Low Stock
MAT00675,Sustainable Bamboo,Accessories,155.74,86.08,32.8,6.86,31.7,Supplier D,ISO 14001,3402.17,Low Stock
MAT00676,Sustainable Bamboo,Kitchen Utensils,240.83,41.88,87.3,10.9,87.7,Supplier B,None,3433.71,Low Stock
MAT00677,Mushroom Composite,Cosmetics,182.41,60.61,85.1,11.2,45.3,Supplier A,None,274.73,Pre-Order
MAT00678,Bio-based Polymer,Toys,397.6,14.47,52.1,9.61,31.4,Supplier B,FSC,493.85,Pre-Order
MAT00679,Flax Fiber,Construction,425.01,68.89,83.4,5.13,47.8,Supplier C,FSC,3095.07,Pre-Order
MAT00680,Recycled Aluminum,Bags & Luggage,401.77,20.67,53.2,3.14,87.6,Supplier E,FSC,3930.05,In Stock
MAT00681,Biodegradable Plastic,Insulation,327.08,63.04,92.5,14.62,19.8,Supplier B,ISO 14001,2959.78,Low Stock
MAT00682,Bioplastic,Sports Equipment,304.19,15.78,96.6,2.97,56.7,Supplier E,Cradle to Cradle,222.44,Low Stock
MAT00683,Corn Plastic,Kitchen Utensils,68.07,71.64,35.2,13.0,78.2,Supplier D,Cradle to Cradle,1313.06,In Stock
MAT00684,Jute,Furniture,304.04,99.53,42.6,10.32,41.8,Supplier B,ISO 14001,1793.63,Low Stock
MAT00685,Mycelium Leather,Accessories,312.66,90.83,49.6,10.42,45.8,Supplier B,GOTS,207.5,Pre-Order
MAT00686,Linen,Furniture,359.53,71.14,78.9,4.22,9.5,Supplier C,FSC,400.06,Low Stock
MAT00687,Certified Wood,Coatings,470.27,96.75,67.9,11.35,4.6,Supplier E,Cradle to Cradle,1176.94,Low Stock
MAT00688,Linen,Home Decor,74.8,89.33,23.3,3.1,17.0,Supplier C,Cradle to Cradle,2129.78,In Stock
MAT00689,Sustainable Bamboo,Bags & Luggage,358.03,43.86,40.8,5.04,97.9,Supplier C,None,2154.68,Low Stock
MAT00690,Jute,Footwear,452.37,27.06,86.4,13.94,51.7,Supplier B,GOTS,1902.36,Pre-Order
MAT00691,Cardboard,Construction,282.28,92.36,70.9,6.88,18.9,Supplier B,ISO 14001,383.46,Low Stock
MAT00692,Mycelium Leather,Automotive,355.92,44.21,99.6,13.94,4.1,Supplier E,Cradle to Cradle,1586.13,Low Stock
MAT00693,Cardboard,Textiles,424.46,86.82,29.9,1.86,86.8,Supplier B,None,885.61,Pre-Order
MAT00694,Corn Plastic,Household Items,285.99,66.65,37.0,14.97,0.4,Supplier B,Cradle to Cradle,3221.23,In Stock
MAT00695,Hemp Fiber,Kitchen Utensils,341.69,88.85,22.1,10.38,68.1,Supplier E,ISO 14001,1736.36,Low Stock
MAT00696,Recycled Metal,Electronics,49.72,83.24,72.8,7.08,95.5,Supplier A,GOTS,2533.16,In Stock
MAT00697,Cellulose,Coatings,475.94,33.17,78.5,11.15,95.7,Supplier B,ISO 14001,2433.56,Pre-Order
MAT00698,Recycled Glass,Bags & Luggage,401.09,74.64,63.8,9.23,9.3,Supplier B,Cradle to Cradle,1182.75,In Stock
MAT00699,Biodegradable Plastic,Furniture,89.84,78.17,42.8,11.41,65.4,Supplier D,Cradle to Cradle,646.57,Pre-Order
MAT00700,Seaweed Polymer,Footwear,452.83,60.75,48.7,1.89,36.7,Supplier D,Cradle to Cradle,961.97,Low Stock
MAT00701,Mycelium Leather,Adhesives,304.17,9.93,53.8,5.84,18.6,Supplier A,ISO 14001,2678.41,Pre-Order
MAT00702,Natural Rubber,Toys,341.46,65.11,77.1,13.99,52.7,Supplier A,GOTS,2744.81,Low Stock
MAT00703,Jute,Cosmetics,454.53,48.28,31.9,2.35,90.3,Supplier E,Cradle to Cradle,3518.37,Low Stock
MAT00704,Recycled Aluminum,Food Packaging,279.99,91.81,61.1,7.9,41.3,Supplier E,GOTS,2016.9,Low Stock
MAT00705,Mycelium Leather,Adhesives,50.07,50.84,29.1,10.09,18.0,Supplier D,ISO 14001,892.25,In Stock
MAT00706,Jute,Footwear,163.83,72.69,80.6,7.02,80.8,Supplier B,FSC,1525.54,In Stock
MAT00707,Sustainable Bamboo,Coatings,137.07,67.67,54.7,0.76,39.5,Supplier D,Cradle to Cradle,219.12,Pre-Order
MAT00708,Linen,Coatings,365.7,30.98,85.1,9.44,69.1,Supplier D,GOTS,4003.09,In Stock
MAT00709,Recycled Metal,Construction,16.8,12.08,21.3,14.57,85.9,Supplier B,None,999.32,In Stock
MAT00710,Jute,Insulation,103.55,30.79,57.1,7.37,2.2,Supplier B,None,827.51,Pre-Order
MAT00711,Recycled PET,Kitchen Utensils,241.03,86.12,66.8,3.42,56.9,Supplier A,GOTS,3487.66,In Stock
MAT00712,Organic Cotton,Sports Equipment,489.95,85.01,79.0,9.14,55.4,Supplier D,Cradle to Cradle,1324.68,Low Stock
MAT00713,Mushroom Composite,Adhesives,365.06,93.59,92.4,13.08,23.2,Supplier A,Cradle to Cradle,407.53,Pre-Order
MAT00714,Natural Rubber,Insulation,41.12,89.39,53.4,7.36,49.5,Supplier C,Cradle to Cradle,3906.81,Pre-Order
MAT00715,Jute,Electronics,89.05,72.89,57.5,6.85,50.8,Supplier C,EcoCert,2507.43,Pre-Order
MAT00716,Wool,Toys,74.27,30.05,76.9,14.42,83.3,Supplier C,Cradle to Cradle,2847.73,In Stock
MAT00717,Bioplastic,Furniture,148.4,75.18,73.4,2.37,19.9,Supplier A,Cradle to Cradle,2579.64,Low Stock
MAT00718,Recycled Glass,Accessories,112.62,5.66,21.5,13.27,35.7,Supplier E,ISO 14001,797.63,In Stock
MAT00719,Natural Rubber,Sports Equipment,65.84,23.44,65.0,7.55,99.4,Supplier A,EcoCert,3292.61,Low Stock
MAT00720,Recycled Metal,Flooring,306.1,11.31,24.0,14.22,79.9,Supplier A,ISO 14001,4001.43,Pre-Order
MAT00721,Bioplastic,Textiles,413.57,5.15,28.4,9.63,87.1,Supplier B,None,3795.59,Low Stock
MAT00722,Flax Fiber,Toys,383.36,50.34,89.6,2.74,36.4,Supplier A,FSC,3429.56,Low Stock
MAT00723,Jute,Electronics,130.2,81.11,47.3,7.82,8.5,Supplier D,GOTS,1650.04,Pre-Order
MAT00724,Wool,Accessories,84.29,75.6,53.7,3.81,80.2,Supplier D,Cradle to Cradle,1812.72,Pre-Order
MAT00725,Seaweed Polymer,Home Decor,472.43,44.82,81.6,10.91,51.7,Supplier C,GOTS,443.22,Low Stock
MAT00726,Cork Composite,Automotive,222.7,39.93,23.0,13.88,15.1,Supplier E,GOTS,2455.14,Low Stock
MAT00727,Linen,Insulation,438.04,72.43,45.1,5.49,82.7,Supplier E,FSC,3752.43,Pre-Order
MAT00728,Linen,Toys,325.5,88.87,69.9,9.46,44.2,Supplier D,FSC,1541.31,Low Stock
MAT00729,Sustainable Bamboo,Food Packaging,273.34,39.61,77.5,13.26,52.0,Supplier B,ISO 14001,2320.68,Pre-Order
MAT00730,Algae-based Material,Footwear,265.45,75.95,32.8,0.9,79.7,Supplier B,GOTS,2526.52,Pre-Order
MAT00731,Jute,Flooring,64.12,6.93,49.8,9.59,35.4,Supplier A,Cradle to Cradle,356.07,Low Stock
MAT00732,Recycled Aluminum,Electronics,232.04,98.31,84.4,14.84,56.6,Supplier E,EcoCert,3729.19,In Stock
MAT00733,Certified Wood,Footwear,149.42,78.69,77.2,10.25,71.4,Supplier B,ISO 14001,2236.02,Low Stock
MAT00734,Mushroom Composite,Adhesives,104.35,78.08,56.3,2.63,42.6,Supplier A,ISO 14001,1807.74,Low Stock
MAT00735,Recycled Metal,Kitchen Utensils,115.24,8.73,74.1,6.34,55.9,Supplier C,EcoCert,3268.54,Low Stock
MAT00736,Cellulose,Sports Equipment,498.29,69.21,95.8,11.11,41.7,Supplier E,FSC,815.06,Low Stock
MAT00737,Flax Fiber,Toys,73.4,70.75,89.1,2.21,21.3,Supplier B,EcoCert,2051.76,Low Stock
MAT00738,Organic Cotton,Coatings,427.64,11.92,49.6,4.7,52.3,Supplier C,GOTS,634.95,Low Stock
MAT00739,Recycled Glass,Kitchen Utensils,23.71,15.14,82.7,6.62,93.7,Supplier C,FSC,1381.95,In Stock
MAT00740,Corn Plastic,Kitchen Utensils,11.02,55.21,25.4,1.15,48.1,Supplier D,GOTS,1400.21,Low Stock
MAT00741,Cardboard,Coatings,75.08,14.71,70.9,11.54,66.7,Supplier C,ISO 14001,759.45,Pre-Order
MAT00742,Wool,Coatings,210.72,24.05,51.6,8.34,95.8,Supplier C,None,3711.76,In Stock
MAT00743,Bio-based Polymer,Electronics,290.28,79.82,76.6,8.64,12.4,Supplier B,EcoCert,2394.55,Pre-Order
MAT00744,Recycled Aluminum,Food Packaging,479.07,52.65,80.0,7.79,1.9,Supplier E,FSC,2788.8,In Stock
MAT00745,Mycelium Leather,Furniture,130.19,70.86,91.0,6.94,80.7,Supplier D,EcoCert,2583.79,In Stock
MAT00746,Cardboard,Electronics,176.58,18.87,21.9,8.15,38.2,Supplier A,EcoCert,528.71,In Stock
MAT00747,Recycled Glass,Construction,99.51,77.06,32.3,14.31,67.9,Supplier C,FSC,400.89,In Stock
MAT00748,Flax Fiber,Food Packaging,156.03,10.78,31.4,13.45,25.8,Supplier A,ISO 14001,3917.6,In Stock
MAT00749,Hemp Fiber,Coatings,297.15,49.8,80.2,6.08,11.5,Supplier D,EcoCert,407.53,Low Stock
MAT00750,Sustainable Bamboo,Kitchen Utensils,24.16,63.72,93.1,0.77,55.4,Supplier A,FSC,2501.62,Pre-Order
MAT00751,Cellulose,Construction,159.26,41.27,26.7,9.72,20.3,Supplier C,EcoCert,4022.18,In Stock
